,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3825,3825,3825,3825,3825,3825,3825.0,3825,3825,3825.0,3825.0,3825,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825
unique,1,1,49,8,2,2,,6,7,,,2,,,,,,,,,3786
top,portal inmobiliario,rm,las condes,2020-08-26,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/la-cisterna-metropolitana/9193-edificio-locarno-085-nva
freq,3825,3825,579,971,1956,3768,,3724,3805,,,3316,,,,,,,,,4
mean,,,,,,,-15.584052287581699,,,3502.262222222222,-15.96078431372549,,13664.74274509804,13320.15111111111,3.230849673202614,2.419869281045752,0.9406535947712419,0.4938562091503268,0.4538562091503268,8273.09385620915,
std,,,,,,,4.292923387466216,,,19907.292662255408,1.0031485015050705,,808494.8812423504,808485.0220848274,1.399450704643997,1.1640637607000022,0.9563606112378675,0.5015941169801312,0.4979312907650701,5918.097874240186,
min,,,,,,,-16.0,,,-16.0,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,70.0,57.0,2.0,2.0,0.0,0.0,0.0,3131.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,135.0,99.0,3.0,2.0,1.0,0.0,0.0,6670.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,300.0,155.0,4.0,3.0,1.0,1.0,1.0,12000.0,
max,,,,,,,68.0,,,300000.0,16.0,,50000000.0,50000000.0,18.0,9.0,10.0,2.0,1.0,25000.0,
