Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
portal inmobiliario,rm,huechuraba,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,96,91,3,2,1,1,1,3970,https://www.portalinmobiliario.com/mlc-538394809-departamento-en-venta-de-3-dorm-en-huechuraba-_jm
portal inmobiliario,rm,vitacura,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,180,151,2,3,1,1,1,16600,https://www.portalinmobiliario.com/mlc-538661774-nuevo-lo-curro-bajo-arboleda-_jm
portal inmobiliario,rm,la cisterna,2020-07-26,aparment,usada,-16,disponible,-16,-16,-16,N,300,100,3,1,2,1,0,3993,https://www.portalinmobiliario.com/mlc-538391590-pje-iquique-759-la-cisterna-region-metropolitana-chile-_jm
portal inmobiliario,rm,maipu,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,63,63,4,1,0,0,0,2100,https://www.portalinmobiliario.com/venta/departamento/maipu-metropolitana/5743813-departamento-en-avenida-sur-uda
portal inmobiliario,rm,santiago,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,44,44,2,2,0,1,1,2850,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5263779-metro-republica-uda
portal inmobiliario,rm,nunoa,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,70,70,3,2,1,1,0,4340,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5413113-av-eliecer-parda-uda
portal inmobiliario,rm,providencia,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,92,82,3,2,1,1,0,7000,https://www.portalinmobiliario.com/mlc-538498375-departamento-en-venta-de-3-dorm-en-providencia-_jm
portal inmobiliario,rm,vitacura,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,140,120,4,4,0,0,1,12000,https://www.portalinmobiliario.com/mlc-538507382-departamento-en-venta-de-4-dormitorios-en-vitacura-_jm
portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,Y,80,80,3,2,1,0,0,5950,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5743464-luis-thayer-ojedalas-dalias-c_263787-uda
portal inmobiliario,rm,nunoa,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,82,80,3,2,1,0,0,5577,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5741630-hamburgoirarrazaval-c_263667-uda
portal inmobiliario,rm,la reina,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,133,60,3,2,1,1,0,5600,https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5740816-simon-bolivar-6149-uda
portal inmobiliario,rm,las condes,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,N,67,64,2,2,1,1,1,6200,https://www.portalinmobiliario.com/mlc-538285808-felix-de-amesti-923-las-condes-chile-_jm
portal inmobiliario,rm,santiago,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,48,48,2,2,1,1,1,3010,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5425249-metro-parque-almagro-uda
portal inmobiliario,rm,las condes,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,85,85,3,3,1,1,1,8850,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5736683-warren-smith-apoquindo-uda
portal inmobiliario,rm,lo barnechea,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,150,140,3,3,0,1,1,12900,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5741277-las-condess-j-de-la-sierra-c_263146-uda
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,195,170,3,3,1,0,1,14500,https://www.portalinmobiliario.com/mlc-538507416-departamento-en-venta-de-3-dormitorios-en-las-condes-_jm
portal inmobiliario,rm,santiago,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,N,62,58,2,2,0,0,1,2950,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5738341-santa-victoria-366-uda
portal inmobiliario,rm,las condes,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,127,127,3,2,2,1,0,9027,https://www.portalinmobiliario.com/mlc-538682273-cesar-cascabel-martin-de-zamora-alicante-_jm
portal inmobiliario,rm,nunoa,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,43,40,1,1,1,1,1,3298,https://www.portalinmobiliario.com/mlc-538514913-departamento-en-venta-de-1-dorm-en-nunoa-_jm
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,70,57,2,2,1,1,1,7500,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5741860-avenida-las-condes-10415-uda
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,110,98,3,3,1,1,0,8700,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5740876-av-pdte-kennedy-lateral-geronimo-de-alderete-uda
portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,32,32,1,1,0,0,0,2099,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736947-general-amengual-uda
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,49,49,1,1,1,1,1,4700,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5740587-los-barbechos-uda
portal inmobiliario,rm,vitacura,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,260,220,3,3,1,1,0,20000,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5741608-americon-vespucio-norteespoz-c_263642-uda
portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,42,42,2,1,0,0,0,2501,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736973-general-amengual-uda
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,167,140,3,2,2,1,0,10500,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5741883-alcantara-villa-maria-uda
portal inmobiliario,rm,lo prado,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,Y,55,55,2,1,1,0,0,1385,https://www.portalinmobiliario.com/venta/departamento/lo-prado-metropolitana/5740914-lago-llanquihue-999-uda
portal inmobiliario,rm,nunoa,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,66,56,1,1,1,1,1,4166,https://www.portalinmobiliario.com/mlc-538653266-departamento-en-venta-de-1-dormitorio-en-nunoa-_jm
portal inmobiliario,rm,lo barnechea,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,267,140,3,3,0,1,1,16500,https://www.portalinmobiliario.com/mlc-538653371-departamento-en-venta-de-3-dormitorios-en-lo-barnechea-_jm
portal inmobiliario,rm,lo barnechea,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,187,167,3,3,1,0,1,15000,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5741717-valle-del-monasterio-c_263759-uda
portal inmobiliario,rm,santiago,2020-07-28,aparment,usada,68,Done,-16,-16,-16,N,110,110,3,2,0,1,0,4861,https://www.portalinmobiliario.com/mlc-538682241-san-antonio-merced-_jm
portal inmobiliario,rm,nunoa,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,55,52,2,2,0,0,0,4650,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5736415-pedro-torres-uda
