,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3939.0,3939,3939,3939,3939,3939,3939,3939.0,3939,3939,3939.0,3939.0,3939,3939.0,3939,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939
unique,,1,1,48,5,2,2,,5,4,,,2,,21,,,,,,,,,,,,,3884
top,,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/7462-isa-mar-jonico-nva
freq,,3939,3939,665,1969,1975,3917,,3903,3924,,,3473,,1389,,,,,,,,,,,,,6
mean,20200731.0,,,,,,,-15.824320893627824,,,1015.9695354150799,-15.983752221375983,,3.1706016755521707,,10300.15993907083,138.31937039857831,3.2513328255902514,2.5181518151815183,0.3538969281543539,0.8433612592028433,0.5115511551155115,0.49047981721249045,9032.263010916477,72.76161462300077,98023.55547093171,6154.421172886519,
std,0.0,,,,,,,3.0848188238246457,,,9833.390904754811,0.7380261621998458,,1.5883779648353344,,615503.3989365326,227.98335446176782,1.4063973134997854,1.1448487034926966,0.4782383881015239,0.8783777432630374,0.5049839018202198,0.4999728263681119,5998.334606046468,81.81325146217047,5847301.646605532,354405.1845801877,
min,20200731.0,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,,19.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1072.0,0.0,-468.0,-275.0,
25%,20200731.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,76.0,65.5,2.0,2.0,0.0,0.0,0.0,0.0,3690.0,54.0,919.0,190.5,
50%,20200731.0,,,,,,,-16.0,,,-16.0,-16.0,,3.0,,155.0,115.0,3.0,2.0,0.0,1.0,1.0,0.0,7800.0,69.0,2055.0,262.0,
75%,20200731.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,346.5,170.0,4.0,3.0,1.0,1.0,1.0,1.0,12847.0,86.0,4106.5,383.0,
max,20200731.0,,,,,,,68.0,,,200000.0,23.0,,5.0,,38630000.0,10015.0,14.0,8.0,1.0,10.0,3.0,1.0,24950.0,3665.0,366988241.0,22241711.0,
