,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3936.0,3936,3936,3936,3936,3936,3936,3936.0,3936,3936,3936.0,3936.0,3936,3936.0,3936,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936
unique,,1,1,48,7,2,2,,4,2,,,2,,21,,,,,,,,,,,,,3883
top,,portal inmobiliario,rm,las condes,2020-07-27,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/macul-metropolitana/9658-gregorio-de-la-fuente-nva
freq,,3936,3936,761,1149,1986,3916,,3874,3934,,,3471,,1335,,,,,,,,,,,,,3
mean,20200729.0,,,,,,,-15.637703252032521,,,1844.9298780487804,-15.847306910569106,,3.237042682926829,,507.1438008130081,144.48119918699186,3.2934451219512195,2.5998475609756095,0.3236788617886179,0.9138719512195121,0.5264227642276422,0.5050813008130082,9435.197154471545,160.01829268292684,5122.476880081301,508.8643292682927,
std,0.0,,,,,,,4.141750264958088,,,13985.677637773291,5.225079571830204,,1.5987478563600401,,2640.660702075107,428.2334062380366,1.3598033047971743,1.1765130471324279,0.4679385514675027,0.8809436132199612,0.5024089447666426,0.5000377048003912,6029.265867364512,931.4519150547674,17920.48636152972,4575.411768488197,
min,20200729.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,1.0,102.0,28.0,
25%,20200729.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,80.0,68.0,2.0,2.0,0.0,0.0,0.0,0.0,4000.0,57.0,976.5,195.0,
50%,20200729.0,,,,,,,-16.0,,,-16.0,-16.0,,3.0,,161.0,119.0,3.0,2.0,0.0,1.0,1.0,1.0,8800.0,71.0,2285.0,267.5,
75%,20200729.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,360.0,173.0,4.0,3.0,1.0,1.0,1.0,1.0,13500.0,88.0,4446.0,387.0,
max,20200729.0,,,,,,,72.0,,,220000.0,302.0,,5.0,,130000.0,23273.0,13.0,8.0,1.0,10.0,3.0,1.0,25000.0,24376.0,683583.0,279495.0,
