Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","lo barnechea","18/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","231","187","3","3","0","1","1","22500","https://www.portalinmobiliario.com/mlc-537222850-departamento-en-venta-de-3-dorm-en-lo-barnechea-_jm"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","78","78","3","2","1","1","0","7400","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5729587-las-malvas-280-departamento-1301-uda"
"portal inmobiliario","rm","estacion central","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","33","33","1","1","0","0","0","2105","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5730616-general-amengual-uda"
"portal inmobiliario","rm","lo barnechea","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","339","200","4","4","3","1","1","18000","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5727797-santiago-college-mall-vivo-los-trapenses-uda"
"portal inmobiliario","rm","providencia","19/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","94","84","2","2","1","1","0","6200","https://www.portalinmobiliario.com/mlc-537309790-avenida-pedro-de-valdivia-1953-providencia-chile-_jm"
"portal inmobiliario","rm","nunoa","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","218","87","3","2","0","1","0","9365","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5726917-simon-bolivarholanda-c_260024-uda"
"portal inmobiliario","rm","nunoa","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","50","45","1","1","1","1","0","3500","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5726912-condellirarrazaval-c_260013-uda"
"portal inmobiliario","rm","las condes","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","105","95","3","2","1","1","1","9893","https://www.portalinmobiliario.com/mlc-537037475-mall-sport-_jm"
"portal inmobiliario","rm","providencia","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","139","120","3","3","1","0","1","13100","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5334961-pocuro-holanda-roberto-del-rio-uda"
"portal inmobiliario","rm","estacion central","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","38","36","1","1","1","1","1","2400","https://www.portalinmobiliario.com/mlc-537798895-maria-rozas-velazquez-av-ecuador-metro-las-rejas-_jm"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","59","59","2","1","1","1","0","6742","https://www.portalinmobiliario.com/mlc-537557741-departamento-en-venta-de-2-dorm-en-las-condes-_jm"
"portal inmobiliario","rm","nunoa","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","57","54","1","1","0","1","1","4566","https://www.portalinmobiliario.com/mlc-537030586-departamento-en-venta-de-1-dorm-en-nunoa-_jm"
"portal inmobiliario","rm","santiago","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","45","45","2","1","1","1","0","2000","https://www.portalinmobiliario.com/mlc-537951573-departamento-en-venta-de-2-dorm-en-santiago-_jm"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","230","210","5","3","1","1","1","19500","https://www.portalinmobiliario.com/mlc-537039256-arturo-matte-_jm"
