,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4010,4010,4010,4010,3999,4010,4010,27,4001,3997,3985,3868,2093,121,4010,4010,4010
unique,1,1,2,3,7,3687,369,27,868,490,39,29,126,21,1213,3994,3806
top,portal inmobiliario,rm,aparment,propiedades usadas,24-08-2020,sucre pedro de valdivia metro nunoa nunoa,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,56.81 m totales 2 dormitorios 2 banos,superficie total 120 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,$ 120.000.000,https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/8253-condominio-parque-casanova-nva#position=49&type=item&tracking_id=7f0a1a9c-4b7f-4f6e-ae41-8a2ed0fe6540,descripcion d
freq,4010,4010,2009,2335,1197,11,221,1,67,192,1272,1018,440,62,36,4,30
