Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"portal inmobiliario","Las Condes","06/24/2020","House","usada","120","3","2","1","4900","https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5681590-yolanda-vital-apoquindo-uda#position=2&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74"
"portal inmobiliario","Las Condes","06/20/2020","House","usada","110","3","3","1","6875","https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5675199-la-goleta-788-uda#position=3&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74"
"portal inmobiliario","Las Condes","04/14/2020","House","usada","162","3","1","1","5555","https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5556916-metro-y-mall-los-dominicos-uda#position=6&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74"
"portal inmobiliario","Las Condes","08/07/2020","House","usada","120","3","2","1","4895","https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5708594-cristobal-colon-paul-harris-uda#position=1&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74"
"portal inmobiliario","Vitacura","12/04/2020","Aparment","usada","115","4","2","1","6300","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5552025-lo-matta-las-hualtatas-uda#position=2&type=item&tracking_id=41ed21bc-03e9-4c9d-b2ee-362368a50779"
"portal inmobiliario","Vitacura","06/27/2020","House","usada","125","3","2","2","6944","https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5633501-la-aurora-1785-uda#position=1&type=item&tracking_id=7a179f42-d429-4d20-9e55-a969f854cdc1"
"portal inmobiliario","Santiago","","House","usada","100","3","2","1","6969","https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5685878-metro-santa-ana-y-cumming-uda#position=33&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","04/23/2020","House","usada","163","5","5","2","6622","https://www.portalinmobiliario.com/MLC-524432877-casa-en-venta-metro-rondizzoni-_JM#position=14&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","07/05/2020","House","usada","200","3","3","1","4340","https://www.portalinmobiliario.com/MLC-525806304-casa-en-venta-av-jose-arrieta-_JM#position=8&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","","House","usada","220","4","2","1","6041","https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5609345-av-general-gana-metro-nuble-uda#position=5&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","04/23/2020","House","usada","175","4","4","2","4900","https://www.portalinmobiliario.com/MLC-524432903-casa-en-venta-metro-zapadores-_JM#position=13&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","","House","usada","350","3","2","2","6000","https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5683844-metropolitana-region-santiago-uda#position=1&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","07/05/2020","House","usada","200","3","3","3","6900","https://www.portalinmobiliario.com/MLC-525806449-casa-en-venta-walker-martinezcolombia-_JM#position=6&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","04/23/2020","House","usada","110","3","3","3","6700","https://www.portalinmobiliario.com/MLC-524430579-casa-en-venta-plaza-las-campanas-_JM#position=20&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","05/28/2020","House","usada","160","3","3","3","4861","https://www.portalinmobiliario.com/MLC-529532147-casa-en-venta-cerro-negro-_JM#position=4&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","07/06/2020","House","usada","165","4","4","3","6000","https://www.portalinmobiliario.com/MLC-530842246-casa-en-venta-el-guanaco-norte-_JM#position=2&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","05/29/2020","House","usada","160","3","3","2","4166","https://www.portalinmobiliario.com/MLC-529607723-casa-en-venta-juanita-aguirre-_JM#position=3&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","04/24/2020","House","usada","5000","3","3","2","4950","https://www.portalinmobiliario.com/MLC-524491682-casa-en-venta-el-recreo-las-parcelas-_JM#position=9&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","04/21/2020","House","usada","170","3","3","1","5555","https://www.portalinmobiliario.com/MLC-524329543-casa-en-venta-francisco-de-villagra-_JM#position=28&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
"portal inmobiliario","Santiago","04/23/2020","House","usada","169","3","3","3","6000","https://www.portalinmobiliario.com/MLC-524432146-casa-en-venta-el-guanaco-norte-_JM#position=15&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060"
