,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4023,4023,4023,4023,4023,4023,4023.0,4023,4023,4023.0,4023.0,4023,4023.0,4023.0,4023.0,4023.0,4023.0,4023.0,4023.0,4023.0,4023
unique,1,1,49,10,2,2,,6,10,,,2,,,,,,,,,3987
top,portal inmobiliario,rm,las condes,08/06/2020,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,4023,4023,613,1404,2016,3976,,3901,3987,,,3125,,,,,,,,,6
mean,,,,,,,-15.31444195873726,,,8623.734526472781,-15.949788714889387,,386.4991300024857,183.62465821526223,3.1034054188416604,2.3850360427541637,0.7941834451901566,0.4387273179219488,0.403181705195128,8319.28212776535,
std,,,,,,,5.6649627373060865,,,42329.71834766279,1.0779948650120998,,1194.4629874469301,3968.164821993749,1.485131291903988,1.1688160982592282,0.9163935827810396,0.5022689156388699,0.49059764093833264,6037.587828171972,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1004.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,52.0,50.0,2.0,1.0,0.0,0.0,0.0,3055.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,140.0,100.0,3.0,2.0,1.0,0.0,0.0,6500.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,316.0,160.0,4.0,3.0,1.0,1.0,1.0,12470.0,
max,,,,,,,100.0,,,1000000.0,16.0,,27410.0,250201.0,22.0,7.0,12.0,3.0,1.0,24990.0,
