,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4009,4009,4009,4009,4009,4009,4009.0,4009,4009.0,4009.0,4009.0,4009,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009
unique,1,1,49,9,2,2,,3,,,,2,,,,,,,,,3980
top,portal inmobiliario,rm,las condes,24/08/2020,aparment,usada,,disponible,,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/8253-condominio-parque-casanova-nva
freq,4009,4009,702,1160,2007,3970,,3918,,,,3538,,,,,,,,,4
mean,,,,,,,-15.545522574208032,,-16.0,7010.135445248192,-15.959590920429035,,12873.070341731105,12600.753803941132,3.284110750810676,2.4609628336243454,0.8922424544774258,0.5285607383387378,0.4654527313544525,8540.527812422051,
std,,,,,,,4.481330259060385,,0.0,36451.73559106153,0.9728671498692851,,789676.6097024216,789679.523176169,1.5153405392211499,1.133342948267988,0.8976361644431055,0.5007429100258647,0.4988672806426137,5678.7239339706175,
min,,,,,,,-16.0,,-16.0,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,73.0,63.0,2.0,2.0,0.0,0.0,0.0,3650.0,
50%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,137.0,103.0,3.0,2.0,1.0,1.0,0.0,7300.0,
75%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,293.0,158.0,4.0,3.0,1.0,1.0,1.0,12152.0,
max,,,,,,,68.0,,-16.0,800000.0,10.0,,50000000.0,50000000.0,41.0,9.0,10.0,2.0,1.0,24900.0,
