,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4010,4010,4010,4010,4010,4010,4010.0,4010,4010,4010.0,4010.0,4010,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010
unique,1,1,47,14,2,2,,5,8,,,2,,,,,,,,,3982
top,portal inmobiliario,rm,las condes,20/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/7624-estoril-820-casas-nva
freq,4010,4010,789,952,2011,3982,,3958,3987,,,3645,,,,,,,,,5
mean,,,,,,,-15.773067331670823,,,3089.3556109725687,-15.846384039900249,,520.5985037406484,213.24488778054862,3.258354114713217,2.531920199501247,0.9835411471321696,0.5319201995012469,0.48753117206982544,9184.656857855362,
std,,,,,,,3.1339709358647077,,,20684.465463008015,3.0194915385795738,,4631.998827540492,4071.8152373228504,1.330639856920129,1.1261660584194073,1.4081076673044421,0.5010376398074564,0.49990684056140156,5883.08515384339,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,78.0,70.0,2.0,2.0,0.0,0.0,0.0,4183.25,
50%,,,,,,,-16.0,,,-16.0,-16.0,,150.0,115.0,3.0,2.0,1.0,1.0,0.0,8300.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,319.75,168.0,4.0,3.0,1.0,1.0,1.0,12999.5,
max,,,,,,,85.0,,,350000.0,135.0,,220810.0,250201.0,14.0,8.0,66.0,2.0,1.0,24990.0,
