,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3936.0,3936,3936,3936,3936,3936,3936,3936.0,3936,3936,3936.0,3936.0,3936,3936.0,3936,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936
unique,,1,1,47,7,2,2,,6,7,,,2,,21,,,,,,,,,,,,,3914
top,,portal inmobiliario,rm,las condes,2020-07-27,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva
freq,,3936,3936,718,1162,1984,3911,,3896,3917,,,3482,,1273,,,,,,,,,,,,,4
mean,20200728.0,,,,,,,-15.842479674796747,,,2086.856707317073,-15.860772357723578,,3.313008130081301,,426.167174796748,204.5650406504065,3.3353658536585367,2.662855691056911,0.3407012195121951,0.9070121951219512,0.5157520325203252,0.5119410569105691,9688.445630081302,162.8381605691057,5060.409298780488,445.0569105691057,
std,0.0,,,,,,,2.333357757392386,,,14436.566098185856,5.202621352085136,,1.602917763955001,,1062.8905798585126,4006.5469865094437,1.381610672038401,1.1986448831032954,0.47400525536955107,0.8983913992974031,0.5028567371427928,0.49992090106869663,5993.976282554289,931.6818018510681,29666.465895669346,2416.18967407486,
min,20200728.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,1.0,109.0,28.0,
25%,20200728.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,80.0,69.0,2.0,2.0,0.0,0.0,0.0,0.0,4302.25,59.0,1003.75,190.0,
50%,20200728.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,167.5,120.0,3.0,3.0,0.0,1.0,1.0,1.0,9362.5,74.0,2362.0,260.5,
75%,20200728.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,350.0,170.0,4.0,4.0,1.0,1.0,1.0,1.0,13700.0,91.0,4413.75,379.0,
max,20200728.0,,,,,,,52.0,,,220000.0,302.0,,5.0,,21735.0,250201.0,13.0,8.0,1.0,10.0,3.0,1.0,24990.0,24376.0,1763299.0,143942.0,
