SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200730,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO140,163,140,4,3,1.0,3,1,1,13020,93.0,3618.0,277,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5747287-cercano-a-la-av-apoquindo-uda
20200730,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,66,56,2,2,1.0,1,1,1,6700,120.0,915.0,136,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5747283-a-pasos-de-av-pocuro-uda
20200730,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,38,38,1,1,0.0,1,1,0,4687,123.0,389.0,82,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5747573-las-carmelitas-metro-hernando-de-magallanes-uda
20200730,portal inmobiliario,rm,las condes,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO160,350,160,4,3,1.0,0,1,1,22000,138.0,4661.0,211,https://www.portalinmobiliario.com/mlc-538861602-departamento-en-venta-de-4-dormitorios-en-las-condes-_jm
20200730,portal inmobiliario,rm,las condes,2020-07-29,aparment,nueva,-16,lanzamiento,2 semestre 2022,-16,-16,N,5.0,80TO90,147,86,2,3,1.0,1,1,1,11138,130.0,1904.0,170,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/9654-parque-estocolmo-nva
20200730,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,94,87,3,2,1.0,1,1,1,6500,75.0,1549.0,238,https://www.portalinmobiliario.com/mlc-539013363-arturo-claro-ines-de-suarez-_jm
20200730,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,80,78,2,2,1.0,1,1,1,6900,88.0,1201.0,174,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5746300-suecia-metro-los-leones-uda
20200730,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO120,146,116,2,2,1.0,1,1,0,9950,86.0,1888.0,189,https://www.portalinmobiliario.com/mlc-539000757-departamento-en-venta-de-2-dormitorios-en-las-condes-_jm
20200730,portal inmobiliario,rm,nunoa,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,60,56,2,2,1.0,1,1,1,3750,67.0,835.0,222,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5717849-los-alerces-3330-uda
20200730,portal inmobiliario,rm,vitacura,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,90,83,2,2,1.0,1,1,0,11206,135.0,1265.0,112,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5746508-vitacura-nuevos-123-d-uda
20200730,portal inmobiliario,rm,nunoa,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,83,73,2,2,1.0,1,1,1,6890,94.0,1116.0,161,https://www.portalinmobiliario.com/mlc-538852073-metro-principe-de-la-gales-_jm
20200730,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,60,60,2,1,0.0,1,1,1,2900,48.0,720.0,248,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5746735-departamento-emplazado-en-sector-con-alta-plusvalia-de-santiago-centro-uda
20200730,portal inmobiliario,rm,nunoa,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,42,40,1,1,1.0,1,1,1,4455,111.0,428.0,96,https://www.portalinmobiliario.com/mlc-538847022-departamento-en-venta-de-1-dormitorio-en-nunoa-_jm
20200730,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,78,65,2,2,1.0,1,1,0,6200,95.0,1035.0,166,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5747536-gral-carol-urzua-las-carmelitas-uda
20200730,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,108,100,3,3,1.0,1,1,0,6900,69.0,1935.0,280,https://www.portalinmobiliario.com/mlc-539000841-departamento-en-venta-de-3-dormitorios-en-las-condes-_jm
20200730,portal inmobiliario,rm,lo barnechea,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,130TO140,178,140,4,4,1.0,1,1,1,13000,93.0,3375.0,259,https://www.portalinmobiliario.com/mlc-538861213-departamento-en-venta-de-4-dormitorios-en-lo-barnechea-_jm
20200730,portal inmobiliario,rm,santiago,2020-07-29,aparment,usada,-16,disponible,-16,50000,-16,N,4.0,80TO90,31,31,1,1,0.0,1,0,1,2430,78.0,279.0,114,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5745350-cercano-a-metro-bellas-artes-uda
20200730,portal inmobiliario,rm,macul,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,LT30,32,28,1,1,1.0,1,1,1,1900,68.0,266.0,140,https://www.portalinmobiliario.com/mlc-539000885-departamento-en-venta-de-1-dormitorio-en-macul-_jm
20200730,portal inmobiliario,rm,providencia,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,81,73,2,2,1.0,1,1,1,6006,82.0,1162.0,193,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5324352-los-leones-bustos-uda
20200730,portal inmobiliario,rm,nunoa,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,75,72,3,2,1.0,1,0,0,5000,69.0,1097.0,219,https://www.portalinmobiliario.com/mlc-538833544-departamento-en-venta-de-3-dorm-en-nunoa-_jm
20200730,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,120TO130,138,128,3,3,1.0,1,1,0,9000,70.0,2475.0,275,https://www.portalinmobiliario.com/mlc-539013184-callao-stade-frances-_jm
20200730,portal inmobiliario,rm,las condes,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,100,95,3,2,1.0,1,1,1,9100,96.0,1673.0,183,https://www.portalinmobiliario.com/mlc-538871191-martin-de-zamora-vespucio-_jm
20200730,portal inmobiliario,rm,santiago,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,70,70,3,2,0.0,0,0,0,4510,64.0,910.0,201,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5744276-departamento-a-pasos-de-parque-forestal-uda
