SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200718,portal inmobiliario,rm,santiago,2020-07-14,aparment,usada,-16,Done,-16,-16,-16,N,4.0,80TO90,64,60,7.0,2,1,1.0,2,1,1,4200,65,862.0,205,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5719368-avenida-almirante-blanco-encalada-1727-uda#position=9&type=item&tracking_id=74f436cf-5024-4b87-8c04-cdea67051c68
20200718,portal inmobiliario,rm,providencia,2020-07-15,aparment,usada,-16,Done,-16,-16,-16,N,5.0,80TO90,45,45,0.0,2,1,0.0,0,1,0,4800,106,483.0,100,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5720992-luis-thayer-ojeda-eleodoro-yanez-uda#position=31&type=item&tracking_id=700b3753-3c55-4408-ad96-5748ac0fa507
20200718,portal inmobiliario,rm,puente alto,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,1.0,80TO90,48,48,0.0,3,1,0.0,0,1,0,1909,39,468.0,245,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723626-la-portada-uda#position=12&type=item&tracking_id=d3250235-d709-49bd-9f51-193e1bb8ce55
20200718,portal inmobiliario,rm,providencia,2020-07-14,aparment,usada,-16,Done,-16,-16,-16,N,5.0,90TO100,108,100,8.0,3,2,1.0,1,1,0,8541,79,1728.0,202,https://www.portalinmobiliario.com/mlc-536672747-departamento-en-venta-de-3-dorm-en-providencia-_jm#position=17&type=item&tracking_id=dd31e79d-f174-4687-b513-02cf5440e3c0
20200718,portal inmobiliario,rm,las condes,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,110TO130,145,128,13.0,3,3,1.0,1,1,1,12800,88,2594.0,202,https://www.portalinmobiliario.com/mlc-537048237-departamento-en-venta-de-3-dorm-en-las-condes-_jm#position=38&type=item&tracking_id=681a29e3-34fa-47de-b92e-564d7dd8eb61
20200718,portal inmobiliario,rm,vitacura,2020-07-15,aparment,usada,-16,Done,-16,-16,-16,N,5.0,110TO130,142,126,13.0,3,3,1.0,2,1,1,11200,78,2747.0,245,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5721304-colegio-tabancuralas-hualtatas-uda#position=24&type=item&tracking_id=3ad4c99d-ea38-4e9a-a85c-80b7d26ff723
20200718,portal inmobiliario,rm,estacion central,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,Y,1.0,LT30,27,27,0.0,1,1,0.0,0,0,0,1799,66,128.0,71,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723805-las-rejas-norte-uda#position=14&type=item&tracking_id=2871ab16-0b71-44d2-9814-160b89f30d30
20200718,portal inmobiliario,rm,lo conchali,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,2.0,80TO90,65,62,5.0,3,2,1.0,1,1,1,2569,39,947.0,368,https://www.portalinmobiliario.com/venta/departamento/conchali-metropolitana/5723092-gambino-dorsal-uda#position=27&type=item&tracking_id=4bea0174-a997-450d-a8bc-4cc27c8393d3
20200718,portal inmobiliario,rm,nunoa,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,4.0,90TO100,104,96,8.0,3,2,1.0,1,1,1,6500,62,1636.0,251,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724481-impecable-departamento-a-pasos-de-irarrazabal-metro-plaza-egana-uda#position=14&type=item&tracking_id=681a29e3-34fa-47de-b92e-564d7dd8eb61
20200718,portal inmobiliario,rm,santiago,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,4.0,80TO90,72,70,3.0,2,2,1.0,1,1,0,3472,48,991.0,285,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724721-luminoso-departamento-cercano-a-metro-santa-ana-uda#position=27&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af
20200718,portal inmobiliario,rm,las condes,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,110TO130,151,127,19.0,3,3,1.0,2,1,1,12700,84,2834.0,223,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5363009-geronimo-alderete-cercano-a-colegio-aleman-uda#position=42&type=item&tracking_id=a014fccd-0ed8-473b-b46f-74dbd99e506f
20200718,portal inmobiliario,rm,las condes,2020-07-15,aparment,usada,-16,Done,-16,350000,-16,N,5.0,150TO2H,302,168,80.0,2,3,1.0,1,1,1,19855,65,3822.0,192,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5720102-san-francisco-de-asis-2041-departamento-d404-uda#position=28&type=item&tracking_id=3c7cdc27-6fb8-461a-beba-cdea3cfc12ad
20200718,portal inmobiliario,rm,independencia,2020-07-13,aparment,usada,-16,Done,-16,-16,-16,N,2.0,80TO90,39,37,5.0,2,1,1.0,1,0,1,2200,56,378.0,171,https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/5704514-leonor-cepeda-uda#position=27&type=item&tracking_id=2cfd75f3-0af5-446b-87f4-05162c454914
20200718,portal inmobiliario,rm,las condes,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,5.0,2HTO250,210,210,0.0,4,3,0.0,3,1,0,14800,70,4882.0,329,https://www.portalinmobiliario.com/mlc-537225944-el-remanso-uda-udad-duoc-_jm#position=36&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf
20200718,portal inmobiliario,rm,san miguel,2020-07-14,aparment,usada,-16,Done,-16,-16,-16,N,2.0,80TO90,47,45,4.0,2,2,1.0,1,0,1,2800,59,549.0,196,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5719812-metro-san-miguel-uda#position=36&type=item&tracking_id=a09bd7af-c293-477e-bbaf-6280f715e714
20200718,portal inmobiliario,rm,vitacura,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,130TO150,143,135,6.0,3,3,1.0,2,1,0,11700,81,2798.0,239,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722842-pedro-de-villagra-alonso-de-cordova-0-uda#position=40&type=item&tracking_id=a014fccd-0ed8-473b-b46f-74dbd99e506f
20200718,portal inmobiliario,rm,providencia,2020-07-16,aparment,usada,-16,Done,-16,-16,-16,N,5.0,110TO130,130,120,8.0,4,3,1.0,1,1,0,7638,58,2573.0,336,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5722149-metro-tobalaba-pio-x-universidad-san-sebastian-uda#position=44&type=item&tracking_id=3089bb09-f34d-4605-8cc8-3636b8e3845d
