,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3936,3936,3936,3936,3936,3936,3936.0,3936,3936,3936.0,3936.0,3936,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936
unique,1,1,47,7,2,2,,6,7,,,2,,,,,,,,,3914
top,portal inmobiliario,rm,las condes,2020-07-27,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva
freq,3936,3936,718,1162,1984,3911,,3896,3917,,,3482,,,,,,,,,4
mean,,,,,,,-15.842479674796747,,,2086.856707317073,-15.860772357723578,,426.167174796748,204.5650406504065,3.3353658536585367,2.662855691056911,0.9070121951219512,0.5157520325203252,0.5119410569105691,9688.445630081302,
std,,,,,,,2.333357757392386,,,14436.566098185856,5.202621352085136,,1062.8905798585126,4006.5469865094437,1.381610672038401,1.1986448831032954,0.8983913992974031,0.5028567371427928,0.49992090106869663,5993.976282554289,
min,,,,,,,-16.0,,,-16.0,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,80.0,69.0,2.0,2.0,0.0,0.0,0.0,4302.25,
50%,,,,,,,-16.0,,,-16.0,-16.0,,167.5,120.0,3.0,3.0,1.0,1.0,1.0,9362.5,
75%,,,,,,,-16.0,,,-16.0,-16.0,,350.0,170.0,4.0,4.0,1.0,1.0,1.0,13700.0,
max,,,,,,,52.0,,,220000.0,302.0,,21735.0,250201.0,13.0,8.0,10.0,3.0,1.0,24990.0,
