Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
portal inmobiliario,rm,san miguel,2020-08-05,aparment,usada,-16,disponible,-16,-16,-16,N,100,100,2,2,1,1,0,5000,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5758630-el-llano-frente-al-metro-uda
portal inmobiliario,rm,santiago,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,45,43,2,2,1,1,0,2638,https://www.portalinmobiliario.com/mlc-540220029-av-santa-rosa-tarapaca-_jm
portal inmobiliario,rm,las condes,2020-08-05,aparment,usada,-16,disponible,-16,-16,-16,N,185,165,4,4,0,1,1,10900,https://www.portalinmobiliario.com/mlc-539795171-departamento-en-venta-de-4-dorm-en-las-condes-_jm
portal inmobiliario,rm,providencia,2020-08-06,aparment,usada,-16,disponible,-16,100000,-16,N,130,120,4,3,0,1,0,7670,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5760695-metro-tobalaba-pio-x-universidad-san-sebastian-uda
portal inmobiliario,rm,nunoa,2020-08-07,aparment,usada,-16,disponible,-16,110000,-16,N,132,109,3,3,1,1,1,8100,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5762320-jose-pedro-alessandri-eduardo-castillo-velasco-uda
portal inmobiliario,rm,vitacura,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,N,85,70,2,2,1,1,0,9000,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5761950-2d-2b-2est-vitacura-jardin-del-este-uda
portal inmobiliario,rm,estacion central,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,Y,32,32,1,1,0,0,0,2099,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5762696-general-amengual-uda
portal inmobiliario,rm,santiago,2020-08-06,aparment,usada,-16,disponible,-16,80000,-16,N,55,55,2,2,1,1,1,3650,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5761590-santa-elena-998-departamento-409-uda
portal inmobiliario,rm,lo prado,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,Y,28,28,1,1,0,0,0,1799,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5762640-santa-petronila-uda
portal inmobiliario,rm,maipu,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,75,75,3,2,1,1,1,2951,https://www.portalinmobiliario.com/venta/departamento/maipu-metropolitana/5760648-oportunidad-dpto-en-venta-las-torrespajaritos-uda
portal inmobiliario,rm,san miguel,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,N,60,60,2,1,0,1,1,2326,https://www.portalinmobiliario.com/mlc-540281664-departamento-en-venta-de-2-dorm-en-san-miguel-_jm
portal inmobiliario,rm,las condes,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,110,98,2,2,1,1,1,7600,https://www.portalinmobiliario.com/mlc-540242332-del-inca-manquehue-a-pasos-de-metro-manquehue-_jm
portal inmobiliario,rm,las condes,2020-08-05,aparment,usada,-16,disponible,-16,-16,-16,N,80,70,2,2,1,1,1,6600,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5758767-avda-cristobal-colon-sebastian-elcano-uda
portal inmobiliario,rm,quilicura,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,Y,52,52,2,1,0,0,0,1441,https://www.portalinmobiliario.com/venta/departamento/quilicura-metropolitana/5762516-pje-san-antonio-uda
portal inmobiliario,rm,las condes,2020-08-06,aparment,usada,-16,disponible,-16,150000,-16,N,165,140,3,3,1,1,1,11500,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5750247-martin-de-zamora-colegio-verbo-divino-uda
portal inmobiliario,rm,santiago,2020-08-06,aparment,usada,68,Done,-16,-16,-16,N,110,110,3,2,0,1,0,4861,https://www.portalinmobiliario.com/mlc-540237194-san-antonio-merced-_jm
portal inmobiliario,rm,providencia,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,79,76,3,2,1,1,0,4720,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5758936-diagonal-rancagua-av-francisco-bilbao-uda
portal inmobiliario,rm,nunoa,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,N,95,91,3,2,1,1,1,7590,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5762871-lindo-departamento-a-pasos-metro-chile-espana-uda
portal inmobiliario,rm,san miguel,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,82,82,3,2,1,1,1,4166,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5761037-alcalde-pedro-alarcon-uda
