,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4023,4023,4023,4023,4022,4023,4023,55,4012,4012,3551,3424,1959,183,4023,4023,4023
unique,1,1,2,3,9,3266,360,55,813,446,36,35,160,26,1233,3988,3599
top,portal inmobiliario,rm,house,propiedades usadas,06-08-2020,general amengual metro ecuador estacion central,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,61.77 m totales 2 dormitorios 2 banos,dormitorios 1,banos 1,dormitorios 3,banos 2,estacionamientos 2,bodegas 1,uf 1.799,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva#position=6&type=item&tracking_id=805c6614-c1b9-448e-b6aa-750ef76894d5,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4023,4023,2016,2102,1404,39,239,1,231,323,1095,772,326,105,43,6,11
