,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3845.0,3845,3845,3845,3845,3845,3845,3845.0,3845,3845.0,3845.0,3845.0,3845,3845.0,3845,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845
unique,,1,1,49,8,2,2,,3,,,,2,,21,,,,,,,,,,,,,3818
top,,portal inmobiliario,rm,las condes,2020-08-24,house,usada,,disponible,,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/8253-condominio-parque-casanova-nva
freq,,3845,3845,661,1097,1974,3806,,3754,,,,3395,,1513,,,,,,,,,,,,,4
mean,20200827.0,,,,,,,-15.526137841352405,,-16.0,7309.819765929779,-15.957867360208063,,3.0775032509752926,,13422.727958387517,13133.929518855657,3.3118335500650193,2.477243172951886,0.3420026007802341,0.9066319895968791,0.5258777633289987,0.4624187256176853,8560.186475942783,82.95994798439531,252194.06033810144,17550.037711313395,
std,0.0,,,,,,,4.5749232534502084,,0.0,37191.68959036243,0.9933669859999038,,1.9220571943298326,,806341.4292119445,806344.6745321685,1.528357648025778,1.138126824426436,0.4744421610662235,0.9068878648679017,0.5009551653253731,0.49865049565690295,5686.042201441213,332.8530187790086,15372934.89393616,1060200.8837992507,
min,20200827.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,0.0,-268.0,-110.0,
25%,20200827.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,1.0,,80.0,65.0,2.0,2.0,0.0,0.0,0.0,0.0,3663.0,49.0,887.0,192.0,
50%,20200827.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,3.0,,142.0,104.0,3.0,2.0,0.0,1.0,1.0,0.0,7300.0,68.0,1857.0,263.0,
75%,20200827.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,5.0,,300.0,160.0,4.0,3.0,1.0,1.0,1.0,1.0,12152.0,88.0,3721.0,380.0,
max,20200827.0,,,,,,,68.0,,-16.0,800000.0,10.0,,5.0,,50000000.0,50000000.0,41.0,9.0,1.0,10.0,2.0,1.0,24900.0,13888.0,953250000.0,65741379.0,
