,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4042,4042,4042,4042,4042,4042,4042.0,4042,4042,4042.0,4042.0,4042,4042.0,4042.0,4042.0,4042.0,4042.0,4042.0,4042.0,4042.0,4042
unique,1,1,49,8,2,2,,5,7,,,2,,,,,,,,,3976
top,portal inmobiliario,rm,las condes,08/03/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/7462-isa-mar-jonico-nva
freq,4042,4042,839,1404,2030,3995,,3959,4006,,,3666,,,,,,,,,6
mean,,,,,,,-15.555665512122712,,,2005.2409698169224,-15.948540326571004,,396.7996041563582,194.2382483918852,3.2872340425531914,2.540079168728352,0.9183572488866898,0.5507174666006928,0.487382483918852,9203.633597229094,
std,,,,,,,4.862727740058585,,,13458.986229540931,1.2233090878661932,,1036.7789665634527,3935.630300762865,1.462347801634836,1.122535484097345,0.8983277780772911,0.5019395490494744,0.49990261528232943,5825.68371884122,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1090.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,80.0,70.0,2.0,2.0,0.0,0.0,0.0,4097.75,
50%,,,,,,,-16.0,,,-16.0,-16.0,,155.0,115.0,3.0,2.0,1.0,1.0,0.0,8333.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,320.0,167.0,4.0,3.0,1.0,1.0,1.0,12900.0,
max,,,,,,,100.0,,,220000.0,25.0,,19000.0,250201.0,30.0,15.0,11.0,3.0,1.0,24990.0,
