,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4009,4009,4009,4009,4009,4009,4009.0,4009,4009,4009.0,4009.0,4009,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009
unique,1,1,47,7,2,2,,6,7,,,2,,,,,,,,,3987
top,portal inmobiliario,rm,las condes,27/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva
freq,4009,4009,741,1197,2012,3984,,3969,3990,,,3547,,,,,,,,,4
mean,,,,,,,-15.845347967074083,,,2048.5657271139935,-15.863307557994512,,418.2494387627837,202.25841855824396,3.32576702419556,2.655026191070092,0.9062110251933151,0.5175854327762535,0.5108505861810926,9661.80917934647,
std,,,,,,,2.312106671495875,,,14307.254910606667,5.155058087710546,,1054.7764045583704,3969.9407964370403,1.3783458897593581,1.1973337418546748,0.9720052715250194,0.5027395574470687,0.4999446075856531,5982.0563745520585,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,78.0,68.0,2.0,2.0,0.0,0.0,0.0,4299.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,162.0,120.0,3.0,3.0,1.0,1.0,1.0,9300.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,350.0,170.0,4.0,4.0,1.0,1.0,1.0,13600.0,
max,,,,,,,52.0,,,220000.0,302.0,,21735.0,250201.0,13.0,8.0,25.0,3.0,1.0,24990.0,
