SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,MtTot,PriceUF,UFxMt2,ValueScore,Score,Link
20200707,icasas,Huechuraba,06/26/2020,House,usada,5,3.0,2,138.0,6950,50,4968,714,https://www.icasas.cl/propiedad/468911
20200707,icasas,Huechuraba,06/26/2020,House,usada,3,3.0,1,139.0,6500,46,3614,556,https://www.icasas.cl/propiedad/439458
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,3.0,1,100.0,5800,58,3000,517,https://www.icasas.cl/propiedad/376353
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,3.0,2,110.0,5885,53,3080,523,https://www.icasas.cl/propiedad/405349
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,3.0,1,104.0,7000,67,3120,445,https://www.icasas.cl/propiedad/423741
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,1,115.0,6477,56,2530,390,https://www.icasas.cl/propiedad/409154
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,3.0,1,126.0,6300,50,3780,600,https://www.icasas.cl/propiedad/329601
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,1,105.0,6000,57,2310,385,https://www.icasas.cl/propiedad/413252
20200707,icasas,Nunoa,06/26/2020,Aparment,nueva,3,2.0,2,100.0,6900,69,2400,347,https://www.icasas.cl/propiedad/386124
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,2.0,1,103.0,6300,61,2678,425,https://www.icasas.cl/propiedad/467486
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,1,100.0,6755,67,2200,325,https://www.icasas.cl/propiedad/357388
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,100.0,6616,66,2400,362,https://www.icasas.cl/propiedad/304943
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,125.0,6200,49,3000,483,https://www.icasas.cl/propiedad/454891
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,160.0,6900,43,3840,556,https://www.icasas.cl/propiedad/467071
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,130.0,6253,48,3120,498,https://www.icasas.cl/propiedad/413242
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,1,100.0,6700,67,2200,328,https://www.icasas.cl/propiedad/376438
20200707,icasas,Nunoa,06/26/2020,House,usada,3,3.0,0,133.0,4800,36,3192,665,https://www.icasas.cl/propiedad/170907
20200707,icasas,Nunoa,06/26/2020,House,usada,3,4.0,0,100.0,5676,56,2800,493,https://www.icasas.cl/propiedad/456152
20200707,icasas,Nunoa,06/26/2020,House,usada,4,1.0,1,123.0,6171,50,2706,438,https://www.icasas.cl/propiedad/469071
20200707,icasas,Nunoa,06/26/2020,House,usada,4,2.0,0,125.0,4200,33,3000,714,https://www.icasas.cl/propiedad/426271
20200707,icasas,Nunoa,06/26/2020,House,usada,5,4.0,1,100.0,6500,65,3800,584,https://www.icasas.cl/propiedad/441969
20200707,icasas,Nunoa,06/26/2020,House,usada,4,2.0,1,120.0,5049,42,3120,617,https://www.icasas.cl/propiedad/134580
20200707,icasas,Nunoa,06/26/2020,House,usada,3,1.0,0,130.0,5919,45,2080,351,https://www.icasas.cl/propiedad/380987
20200707,icasas,Nunoa,06/26/2020,House,usada,4,3.0,1,200.0,6581,32,6000,911,https://www.icasas.cl/propiedad/352715
20200707,icasas,Providencia,06/26/2020,House,usada,3,3.0,2,93.0,5555,59,2604,468,https://www.icasas.cl/propiedad/462719
20200707,icasas,Providencia,06/26/2020,House,usada,4,2.0,2,275.0,6718,24,7700,1146,https://www.icasas.cl/propiedad/406159
20200707,icasas,Providencia,06/26/2020,House,usada,4,3.0,0,161.0,6233,38,4508,723,https://www.icasas.cl/propiedad/411796
20200707,icasas,Providencia,06/26/2020,House,usada,3,4.0,0,100.0,5676,56,2800,493,https://www.icasas.cl/propiedad/456152
20200707,icasas,Providencia,06/26/2020,House,usada,4,3.0,0,140.0,5900,42,3920,664,https://www.icasas.cl/propiedad/469440
20200707,icasas,Providencia,06/26/2020,House,usada,4,3.0,0,100.0,4178,41,2800,670,https://www.icasas.cl/propiedad/413268
20200707,icasas,Providencia,06/26/2020,House,usada,3,3.0,0,119.0,4990,41,2856,572,https://www.icasas.cl/propiedad/454288
20200707,icasas,Providencia,06/26/2020,House,usada,5,2.0,0,166.0,6616,39,4648,702,https://www.icasas.cl/propiedad/386755
20200707,icasas,Providencia,06/26/2020,House,usada,4,2.0,0,147.0,4370,29,3528,807,https://www.icasas.cl/propiedad/421443
20200707,icasas,Las Condes,06/26/2020,Aparment,usada,4,3.0,2,120.0,6900,57,3840,556,https://www.icasas.cl/propiedad/417286
20200707,icasas,Las Condes,06/26/2020,Aparment,usada,3,1.0,1,110.0,6090,55,1980,325,https://www.icasas.cl/propiedad/148688
20200707,icasas,Las Condes,06/26/2020,Aparment,usada,3,2.0,2,100.0,6100,61,2400,393,https://www.icasas.cl/propiedad/385383
20200707,icasas,Las Condes,06/26/2020,Aparment,usada,3,3.0,1,110.0,6900,62,2860,414,https://www.icasas.cl/propiedad/445211
20200707,icasas,Las Condes,06/26/2020,Aparment,usada,4,3.0,2,120.0,6900,57,3840,556,https://www.icasas.cl/propiedad/412126
20200707,icasas,Las Condes,06/26/2020,Aparment,usada,4,3.0,1,103.0,6500,63,3090,475,https://www.icasas.cl/propiedad/441887
20200707,icasas,Las Condes,06/26/2020,Aparment,usada,3,2.0,0,103.0,5710,55,2060,360,https://www.icasas.cl/propiedad/409936
20200707,icasas,Las Condes,06/26/2020,House,usada,3,1.0,0,200.0,5327,26,3200,600,https://www.icasas.cl/propiedad/431795
20200707,icasas,Las Condes,06/26/2020,House,usada,3,1.0,1,192.0,6094,31,3456,567,https://www.icasas.cl/propiedad/372752
20200707,icasas,Las Condes,06/26/2020,House,usada,3,1.0,0,333.0,6094,18,5328,874,https://www.icasas.cl/propiedad/372751
20200707,icasas,Las Condes,06/26/2020,House,usada,3,1.0,0,160.0,6094,38,2560,420,https://www.icasas.cl/propiedad/446379
20200707,icasas,Las Condes,06/26/2020,House,usada,4,2.0,2,112.0,5571,49,3136,562,https://www.icasas.cl/propiedad/381438
20200707,icasas,Las Condes,06/26/2020,House,usada,3,1.0,0,150.0,6268,41,2400,382,https://www.icasas.cl/propiedad/447655
20200707,icasas,Las Condes,06/26/2020,House,usada,3,1.0,1,270.0,6790,25,4860,715,https://www.icasas.cl/propiedad/375139
