,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3904.0,3904,3904,3904,3904,3904,3904,3904.0,3904,3904,3904.0,3904.0,3904,3904.0,3904,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904
unique,,1,1,50,7,2,2,,5,9,,,2,,21,,,,,,,,,,,,,3845
top,,portal inmobiliario,rm,las condes,2020-08-03,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,,3904,3904,856,1270,1976,3861,,3833,3857,,,3582,,1333,,,,,,,,,,,,,6
mean,20200805.0,,,,,,,-15.633452868852459,,,1688.5225409836066,-15.917520491803279,,3.3616803278688523,,400.08068647540983,198.4341700819672,3.3130122950819674,2.567110655737705,0.35860655737704916,0.9390368852459017,0.5645491803278688,0.492827868852459,9424.07556352459,77.35399590163935,4757.27100409836,444.22925204918033,
std,0.0,,,,,,,4.318431710168656,,,13048.690317314833,1.4253516629753045,,1.627437951410217,,1008.2690979152607,4004.1775102971123,1.4471206159906538,1.1108687891081392,0.4796528176033446,0.9121676955829504,0.5010196128511701,0.5000126004889011,5865.176798700754,159.25248194229798,29763.005416322827,2418.5563970715857,
min,20200805.0,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1006.0,1.0,-468.0,-275.0,
25%,20200805.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,87.0,72.0,3.0,2.0,0.0,0.0,0.0,0.0,4393.75,54.0,1078.25,196.0,
50%,20200805.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,160.0,117.0,3.0,2.0,0.0,1.0,1.0,0.0,8500.0,73.0,2170.0,265.0,
75%,20200805.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,322.0,168.0,4.0,3.0,1.0,1.0,1.0,1.0,13000.0,90.0,4091.25,375.0,
max,20200805.0,,,,,,,100.0,,,290000.0,25.0,,5.0,,19000.0,250201.0,30.0,15.0,1.0,10.0,3.0,1.0,24990.0,9027.0,1763299.0,143942.0,
