,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3904,3904,3904,3904,3904,3904,3904.0,3904,3904,3904.0,3904.0,3904,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904.0,3904
unique,1,1,50,8,2,2,,5,9,,,2,,,,,,,,,3845
top,portal inmobiliario,rm,las condes,08/03/2020,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,3904,3904,856,1270,1976,3861,,3833,3857,,,3582,,,,,,,,,6
mean,,,,,,,-15.633452868852459,,,1688.5225409836066,-15.917520491803279,,400.08068647540983,198.4341700819672,3.3130122950819674,2.567110655737705,0.9390368852459017,0.5645491803278688,0.492827868852459,9424.07556352459,
std,,,,,,,4.318431710168656,,,13048.690317314833,1.4253516629753045,,1008.2690979152607,4004.1775102971123,1.4471206159906538,1.1108687891081392,0.9121676955829504,0.5010196128511701,0.5000126004889011,5865.176798700754,
min,,,,,,,-16.0,,,-16.0,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,1006.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,87.0,72.0,3.0,2.0,0.0,0.0,0.0,4393.75,
50%,,,,,,,-16.0,,,-16.0,-16.0,,160.0,117.0,3.0,2.0,1.0,1.0,0.0,8500.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,322.0,168.0,4.0,3.0,1.0,1.0,1.0,13000.0,
max,,,,,,,100.0,,,290000.0,25.0,,19000.0,250201.0,30.0,15.0,10.0,3.0,1.0,24990.0,
