SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,58,55,2,2,1.0,0,1,1,3055,56.0,730.0,238,https://www.portalinmobiliario.com/mlc-539014165-morande-metro-plaza-de-armas-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,105,92,3,3,1.0,1,1,0,8450,92.0,1822.0,215,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5747451-apumanque-metro-manquehue-plaza-del-inca-uda
20200731,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,92,82,3,2,1.0,1,1,0,7717,94.0,1440.0,186,https://www.portalinmobiliario.com/mlc-539002033-departamento-en-venta-de-3-dormitorios-en-providencia-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,50000,-16,N,4.0,80TO90,39,35,1,1,1.0,1,1,1,2638,75.0,384.0,145,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5747898-blanco-encalada-av-ejercito-uda
20200731,portal inmobiliario,rm,las condes,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO140,148,140,4,4,1.0,1,1,1,9322,67.0,3329.0,357,https://www.portalinmobiliario.com/mlc-538874822-martin-de-zamora-5776-las-condes-region-metropolitana-_jm
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,88,79,3,2,1.0,1,1,0,4444,56.0,1321.0,297,https://www.portalinmobiliario.com/mlc-538999383-departamento-en-venta-de-3-dormitorios-en-nunoa-_jm
20200731,portal inmobiliario,rm,puente alto,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,1.0,80TO90,48,48,3,1,0.0,0,1,0,1909,40.0,468.0,245,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5749335-la-portada-uda
20200731,portal inmobiliario,rm,nunoa,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,85,76,3,2,1.0,1,1,1,6100,80.0,1313.0,215,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5748918-av-holanda-simon-bolivar-uda
20200731,portal inmobiliario,rm,vitacura,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,120TO130,144,130,4,4,1.0,1,1,1,11900,92.0,3152.0,264,https://www.portalinmobiliario.com/mlc-539187601-el-manantial-vitacura-tabancura-_jm
20200731,portal inmobiliario,rm,lo barnechea,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,130TO140,170,140,3,3,1.0,2,1,1,11900,85.0,2926.0,245,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5748351-departamento-a-pasos-del-portal-la-dehesa-buenos-accesos-uda
20200731,portal inmobiliario,rm,san miguel,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,Y,2.0,80TO90,54,51,3,2,1.0,0,0,0,2460,48.0,626.0,254,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5748444-metro-lo-ovalle-uda
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,92,82,3,3,1.0,1,1,0,7700,94.0,1612.0,209,https://www.portalinmobiliario.com/mlc-538997674-departamento-en-venta-de-3-dorm-en-las-condes-_jm
20200731,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,108,80,1,2,1.0,1,1,0,8900,111.0,1162.0,130,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5746379-duplex-con-patio-uda
20200731,portal inmobiliario,rm,vitacura,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,140TO150,186,148,4,4,1.0,0,1,0,13600,92.0,3467.0,254,https://www.portalinmobiliario.com/mlc-538998464-departamento-en-venta-de-4-dormitorios-en-vitacura-_jm
