,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4009,4009,4009,4009,4007,4009,4009,24,3997,3993,3981,3848,2246,108,4009,4009,4009
unique,1,1,2,3,8,3695,376,24,862,474,36,28,127,24,1197,3996,3821
top,portal inmobiliario,rm,aparment,propiedades usadas,24-08-2020,estancia liray colina,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,56.81 m totales 2 dormitorios 2 banos,superficie total 120 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 10.500,https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/8253-condominio-parque-casanova-nva#position=26&type=item&tracking_id=abbe56f0-e2ba-4f23-bb86-d90f48bd4042,descripcion d
freq,4009,4009,2007,2348,1160,11,229,1,65,192,1299,1015,556,50,39,4,27
