,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4009,4009,4009,4009,4009,4009,4009.0,4009,4009,4009.0,4009.0,4009,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009.0,4009
unique,1,1,48,7,2,2,,6,7,,,2,,,,,,,,,3981
top,portal inmobiliario,rm,las condes,23/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-joaquin-metropolitana/9636-edificio-lira-nva
freq,4009,4009,692,1428,2018,3974,,3962,3987,,,3495,,,,,,,,,4
mean,,,,,,,-15.809927662758792,,,3048.7682713893737,-15.830631080069843,,426.03167872287355,194.99052132701422,3.2866051384385133,2.6280868046894486,0.9266650037415815,0.5130955350461461,0.5225742080319281,9364.943876278374,
std,,,,,,,3.061868896194053,,,18958.15194701053,5.68821483857127,,1029.289073705585,3954.9521776445085,1.4003573374814946,1.2276421083343796,1.0190843008067119,0.5033724797758891,0.4995524529384317,5981.7857456348,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,75.0,64.0,2.0,2.0,0.0,0.0,0.0,3993.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,158.0,116.0,3.0,3.0,1.0,1.0,1.0,8900.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,345.0,168.0,4.0,4.0,1.0,1.0,1.0,13350.0,
max,,,,,,,100.0,,,300000.0,302.0,,15000.0,250201.0,13.0,8.0,25.0,3.0,1.0,24990.0,
