,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4075,4075,4075,4075,4075,4075,4075.0,4075,4075,4075.0,4075.0,4075,4075.0,4075.0,4075.0,4075.0,4075.0,4075.0,4075.0,4075.0,4075
unique,1,1,48,15,2,2,,6,20,,,2,,,,,,,,,3974
top,portal inmobiliario,rm,las condes,20/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/8464-andes-tabancura-nva
freq,4075,4075,717,846,2077,3921,,3922,3944,,,3602,,,,,,,,,5
mean,,,,,,,-15.730061349693251,,,2790.244171779141,-15.872638036809816,,431.2439263803681,205.30944785276074,3.1737423312883437,2.4755828220858898,0.9742331288343559,0.5334969325153375,0.492760736196319,8794.86036809816,
std,,,,,,,3.771422771491046,,,17887.557546418906,2.8171619335980607,,3013.5233051588775,4035.8437308972275,1.4149935624930847,1.2111736874728962,0.9253287542905171,0.5038335290700036,0.5000089448679008,5840.900867875008,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,-16.0,-16.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,70.0,64.0,2.0,2.0,0.0,0.0,0.0,3819.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,140.0,109.0,3.0,2.0,1.0,1.0,0.0,7638.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,300.0,160.0,4.0,3.0,1.0,1.0,1.0,12500.0,
max,,,,,,,100.0,,,300000.0,135.0,,170000.0,250201.0,14.0,8.0,10.0,3.0,1.0,24990.0,
