Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","nunoa","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","47","42","1","1","1","0","1","3238","https://www.portalinmobiliario.com/mlc-537354078-departamento-en-venta-de-1-dorm-en-nunoa-_jm"
"portal inmobiliario","rm","vitacura","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","140","120","3","2","1","1","1","13500","https://www.portalinmobiliario.com/mlc-537538760-departamento-en-venta-de-3-dorm-en-vitacura-_jm"
"portal inmobiliario","rm","santiago","17/07/2020","aparment","usada","2","Done","-16","-16","13","Y","50","46","1","1","1","1","0","3050","https://www.portalinmobiliario.com/mlc-537030898-santo-domingo-1450-santiago-chile-_jm"
"portal inmobiliario","rm","santiago","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","50","45","2","2","1","1","1","2550","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5726148-metro-franklin-2d-5-unidades-uda"
"portal inmobiliario","rm","huechuraba","15/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","123","100","3","2","2","1","1","7300","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5721158-moderno-departamento-ciudad-empresarial-3-dormitorios-2-banos-terrazas-uda"
"portal inmobiliario","rm","nunoa","18/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","42","36","1","1","1","1","1","3650","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724664-av-irarrazaval-capitan-fuentes-uda"
"portal inmobiliario","rm","nunoa","15/07/2020","aparment","nueva","-16","venta en verde","1 trimestre 2022","-16","-16","N","58","30","2","2","1","1","0","2490","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9066-edificio-new-nva"
"portal inmobiliario","rm","las condes","16/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","110","103","3","3","1","1","0","7050","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5722184-metro-colon-vista-110-mts2-3d3b-uda"
"portal inmobiliario","rm","providencia","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","52","50","2","2","1","1","1","5350","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5728235-metro-manuel-montt-uda"
"portal inmobiliario","rm","el bosque","16/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","55","55","3","1","0","0","0","1354","https://www.portalinmobiliario.com/venta/departamento/el-bosque-metropolitana/5722466-indio-geronimo-10711-departamento-t7-uda"
