,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4010,4010,4010,4010,4010,4010,4010.0,4010,4010.0,4010.0,4010.0,4010,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010
unique,1,1,49,8,2,2,,3,,,,2,,,,,,,,,3975
top,portal inmobiliario,rm,las condes,24/08/2020,aparment,usada,,disponible,,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/8253-condominio-parque-casanova-nva
freq,4010,4010,727,1197,2009,3968,,3897,,,,3527,,,,,,,,,4
mean,,,,,,,-15.4643391521197,,-16.0,8788.915211970076,-15.933915211970074,,12999.508229426434,12711.600498753118,3.2798004987531173,2.4675810473815463,0.844638403990025,0.5291770573566085,0.4718204488778055,8599.222443890274,
std,,,,,,,4.535093627227656,,0.0,41036.23166279231,1.7103479120743998,,789612.1424356281,789615.2893285715,1.5322315620005584,1.1336576774530271,0.8540557687266284,0.500706979424114,0.49926753801258045,5799.772180342199,
min,,,,,,,-16.0,,-16.0,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,73.0,62.0,2.0,2.0,0.0,0.0,0.0,3653.0,
50%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,140.0,103.0,3.0,2.0,1.0,1.0,0.0,7283.0,
75%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,295.0,159.75,4.0,3.0,1.0,1.0,1.0,12152.0,
max,,,,,,,55.0,,-16.0,800000.0,72.0,,50000000.0,50000000.0,41.0,7.0,10.0,2.0,1.0,25000.0,
