,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3988,3988,3988,3988,3988,3988,3988.0,3988,3988,3988.0,3988.0,3988,3988.0,3988.0,3988.0,3988.0,3988.0,3988.0,3988.0,3988.0,3988
unique,1,1,49,8,2,2,,6,4,,,2,,,,,,,,,3882
top,portal inmobiliario,rm,las condes,30/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/9654-parque-estocolmo-nva
freq,3988,3988,753,1708,2011,3969,,3959,3975,,,3584,,,,,,,,,4
mean,,,,,,,-15.889418254764292,,,1049.4403209628886,-15.98420260782347,,476.4764292878636,148.03861584754262,3.2923771313941828,2.5451354062186557,0.8462888665997994,0.5526579739217653,0.48144433299899697,9333.727683049148,
std,,,,,,,2.1816339804761613,,,10426.218149291384,0.5827563015712812,,2616.477183919534,454.82138815411685,1.3643025179998067,1.103029054139808,0.8564916210749389,0.5027992436122819,0.49971822525358817,5786.792415887736,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1006.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,81.0,70.0,2.0,2.0,0.0,0.0,0.0,4200.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,160.0,120.0,3.0,2.0,1.0,1.0,0.0,8680.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,340.0,168.0,4.0,3.0,1.0,1.0,1.0,13000.0,
max,,,,,,,60.0,,,200000.0,9.0,,130000.0,23273.0,14.0,7.0,11.0,3.0,1.0,25000.0,
