,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3911.0,3911,3911,3911,3911,3911,3911,3911.0,3911,3911,3911.0,3911.0,3911,3911.0,3911,3911.0,3911.0,3911.0,3911.0,3911.0,3911.0,3911.0,3911.0,3911.0,3911.0,3911.0,3911.0,3911
unique,,1,1,48,7,2,2,,6,4,,,2,,21,,,,,,,,,,,,,3805
top,,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/9654-parque-estocolmo-nva
freq,,3911,3911,734,1655,1963,3892,,3882,3898,,,3519,,1308,,,,,,,,,,,,,4
mean,20200730.0,,,,,,,-15.887241114804398,,,1070.4167732037843,-15.9838915878292,,3.340577857325492,,486.12528765021733,150.04755816926618,3.3045256967527488,2.556635131679877,0.3881360265916645,0.8524673996420353,0.5535668626949629,0.4845308105343902,9397.287138839172,74.75326003579647,4917.291996931731,516.141140373306,
std,0.0,,,,,,,2.2029550794916335,,,10527.297275828803,0.5884622054745131,,1.5510371329322326,,2641.201008619129,458.921757857294,1.3652903998790558,1.1018706853557125,0.48738813042192297,0.8443998897495592,0.5028124843729321,0.4998245508128079,5781.46427461994,86.49860944720668,17916.32081341313,4499.421238373892,
min,20200730.0,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,,19.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1006.0,0.0,-468.0,-275.0,
25%,20200730.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,85.0,72.0,2.0,2.0,0.0,0.0,0.0,0.0,4300.0,55.0,1059.5,194.0,
50%,20200730.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,161.0,120.0,3.0,2.0,0.0,1.0,1.0,0.0,8800.0,71.0,2288.0,265.0,
75%,20200730.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,350.0,170.0,4.0,3.0,1.0,1.0,1.0,1.0,13172.0,89.0,4101.0,383.0,
max,20200730.0,,,,,,,60.0,,,200000.0,9.0,,5.0,,130000.0,23273.0,14.0,7.0,1.0,10.0,3.0,1.0,25000.0,3665.0,683583.0,270946.0,
