web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,Bdroom,Bath,Description,WebDesc
"1594177438-1187","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Condominio Jardines de la Isla. Entrega inmediata sin IVA","https://www.icasas.cl/propiedad/462719","Desde UF 5.555","93m2-125m2","3-4 Dormitorios","3-4 Baños","Casas estilo mediterráneo de dos pisos, con 3 dormitorios y principal en suite, 2 baños más baño de visitas y 2 estacionamientos por casa. Cuentan con cocina y comedor de diario, amoblada y equipada. Encimera, horno y campana. Closets en todos los dormitorios, los pisos de las habitaciones son alfombrados y el resto con porcelanato, ventanas de PVC y termopanel. Finas terminaciones, calefacción para instalación de estufa a gas.  
  
 Condominio privado construido en el año 2017 en la hermosa Isla de Maipo.  
 Áreas verdes, parque infantil, zonas deportivas, piscina comunitaria, quincho comunitario, conserjerías 24/7, sistema de vigilancia  acceso único y controlado con circuito de cámaras. Cercano a todos los servicios. 
  
 Se ubica a 40 minutos de Santiago, cercana a Autopista del Sol y futura conectividad del Metro Tren. Cerca de colegios, supermercados, farmacias, hospitales, Cesfam, restaurantes y todo tipo de servicios. Entorno privilegiado, rodeado de hermosas viñas. 
  
 ENTREGA INMEDIATA, sin IVA","Condominio Jardines de la Isla. Entrega inmediata sin IVA"
"1594177407-1178","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Recoleta, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/406159","UF 6.718","275m2","4 Dormitorios","2 Baños","Excelente oportunidad para inversión. Amplia propiedad de 275 m2 totales, construidos 122 m2, distribuidos en 2 casas, de 2 dormitorios y un baño cada una. Casas remodeladas, cuenta con 2 estacionamientos, amplio patio con árboles frutales (limón, naranjo y almendro). Pisos de cerámica. Emplazada en pleno barrio residencial, cercana a colegios, liceos, comercio, autopistas, áreas verdes. Locomoción colectiva a una calle y cercano a línea 2 del metro (estación cementerios). No te pierdas esta oportunidad 
 para mayor información contactarme 
  
 agente inmobiliario 
 susana reyes b.","Casa en Venta Recoleta, Santiago"
"1594177417-1181","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Santiago, Santiago","https://www.icasas.cl/propiedad/411796","UF 6.233,32","161m2","4 Dormitorios","3 Baños","Venta casa barrio universitario. Grajales / av españa 
 uso comercial o habitacional. Actualmente cuenta con patente y resolución sanitaria. Restaurante en funcionamiento. Casa en excelente estado de conservación fachada e interiores. Emplazada en barrio universitario, reconocido por la alta concentración de universidades, centros educacionales, institutos y casas utilizadas comercialmente. Barrio consolidado y de alto potencial. Construcción de 161 mt2. Distribución 1° piso: acceso principal con recibidor, living, comedor, habitación de servicio y/o bodega, cocina y 2 baños habilitados según resolución 
  
 distribución 2° piso: 4 dormitorios, 1 baño completo, salita de estar. Valor propiedad uf 7. 050 
 posibilidad de continuar con restaurante, derecho de llave conservable. Mayor información contactar ;569","Casa en Venta Santiago"
"1594177409-1179","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Vendo Preciosa Casa Cerca Metros Plaza Egaña Y Los Orientales.
, Ñuñoa, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/456152","UF 5.676,15","100m2","3 Dormitorios","4 Baños","Descripción 
  
 ubicada en tranquila zona residencial, a  minutos caminando de estaciones plaza egaña y los orientales. Cerca futura estación ramón cruz. Comunicabilidad extraordinaria. Distribución: 
  
 100 metros cuadrados construidos. Ubicada en condomini","Casa en Venta Vendo Preciosa Casa Cerca Metros Plaza Egaña Y Los Orientales.
, Ñuñoa, Santiago"
"1594177413-1180","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Machalí, Cachapoal","https://www.icasas.cl/propiedad/469440","UF 5.900","140m2","4 Dormitorios","3 Baños","Linda casa colonial de dos pisos, muy buenas terminaciones y orientación, esta casa cuenta con todos los ventanales y ventanas de termo panel, no de aluminio como las demás casas, construida el año 2016 y aún cuenta con garantía de construcción. Ante jardín y amplio patio trasero, entrada para 6 vehículos, living separado de comedor, cocina amplia, amoblada y equipada, con comedor de diario para 6 personas, baño de visitas. Cuenta con cuatro estupendos dormitorios, principal en suite con baño y walking clóset, 2da pieza para oficina o dormitorio y baño visita están ubicados en primer piso, dormitorio 3 y 4 apto para 2 plazas con clósets más baño en el segundo piso, escala ancha e iluminada, enorme loggia sin techar. Barrio exclusivo y tranquilo, ubicado en avenida la rosa, a media cuadra del segundo acceso y salida por carretera del cobre, es un sector privilegiado dentro del polo de machalí. Link video corporativo de la constructora de la propiedad. Https://www. Youtube. Com/watch?v 5k uyxdgdv0","Casa en Venta Machalí, Cachapoal"
"1594177424-1183","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Hospital J.j Aguirre - Bélgica/inglaterra
, Independencia, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/413268","UF 4.178,76","100m2","4 Dormitorios","3 Baños","Bélgica/inglaterra, hospital j. J aguirre, casa en buen sector cercana a hospital, living comedor, 4 dormitorios, 3 baños, 2 en suite, cocina cerrada tradicional,piso parket, patio, entrada de vehículo capacidad 2, no paga contribuciones, fachada contínua, cercano a metro chacabuco, mall independencia. @¬@¬macarena stewart 9 yohara macarena stewart tel.","Casa en Venta Hospital J.j Aguirre - Bélgica/inglaterra
, Independencia, Santiago"
"1594177427-1184","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Recoleta, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/455291","UF 5.049,34","122m2","4 Dormitorios","2 Baños","En venta terreno con 2 casas pareadas, excelente oportunidad para inversionistas, empresas o grandes familias. Precio conversable 
  
 construido 122mts 
 terreno 275mts 
  
 solida y comoda casa de un piso dividida en 2 casas, cada una cuenta con baño y cocina, en total 4 dormitorios y 2 baños (cada casa tiene 2 dormitorios muy amplios). Al interior cuenta con un gran terreno para poder ampliar o hacer otra casa. Posee estacionamiento techado y cubierto hasta para 2 vehículos. Grandes habitaciones, patio interior cuenta con arboles frutales como limón, naranjo y almendro. Cercano a av valdivieso, av recoleta, metro cementerios, comercios varios, liceos, colegios, autopista central. Gran conectividad. Coordinar visitas con maryori benitez  asesora inmobiliaria.","Casa en Venta Recoleta, Santiago"
"1594177434-1186","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Jardín Oriente 021, Alto El Manzano Til Til, Tiltil, Chacabuco","https://www.icasas.cl/propiedad/454288","UF 4.990","119m2","3 Dormitorios","3 Baños","Hermosa casa Mediterránea en Condominio Jardín Oriente Alto el Manzano Til-Til. 
 Hermosa Casa estilo Mediterránea en el Condominio Jardín Oriente de Alto el Manzano, superficie útil 119M2 y 308 M2 totales. Su construcción de dos pisos con terminaciones de primer nivel está ubicada en una de las zonas consolidadas y de mayor plusvalía de Til-Til. 
 Condominio con cámaras de seguridad, cercos eléctricos y accesos controlados, plaza de juegos... infantiles, gran Parque Central y un entorno natural privilegiado con senderos de trekking, multicanchas y facilidades para desarrollar múltiples actividades deportivas. 
 Orientación Norte. 
 Excelente conectividad, a sólo 35 minutos de Santiago por ruta 5 Norte y Autopista Los Libertadores. 
 Descripción: 
 Primer Piso 
 Hall de entrada. 
 Baño de visitas. 
 Amplio living y comedor. 
 Cocina completamente amoblada, todo en granito, equipada con encimera, campana y horno. Puerta corredera conexión Living. 
 Amplio Dormitorio principal en suite, con Walking closet y salida al jardín. 
 Baño Principal. 
 Logia completamente cerrada. 
  
 Segundo piso 
 Dos dormitorios. 
 Baño. 
 Sala Multiusos (juegos). 
 Exterior: 
 Entrada de vehículo. 
 Antejardín y amplio patio trasero con césped y riego automático, macizos de flores y arbustos. 
 Hermosa Terraza con iluminación. 
  
 Adicionales: 
 Cortinas Roller a medida en toda la casa. 
 Riego automático (con timers). 
 Acceso al Condominio con portón automático (se entrega control remoto). 
  Contactar:   
 Valor 4.990UF.Mostrar","Casa en Venta Jardín Oriente 021, Alto El Manzano Til Til, Tiltil, Chacabuco"
"1594177431-1185","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Metro Rondizzoni - General Rondizzoni / Club Hipico
, Santiago, Santiago","https://www.icasas.cl/propiedad/386755","UF 6.616,37","166m2","5 Dormitorios","2 Baños","General rondizzoni / club hipico, hermosa casa patrimonial 163/144 m2, barrio residencial, patrimonio cultural,. @¬1er piso living comedor separados, baño de visita, cocina cerrada, patio techado remodelado, lavadero, bodega, piso cerámica. @¬cuenta con amplio departamento interior independiente, living comedor, 1 dormitorio, baño, cocina cerrada. @¬2do piso 2 amplios dormitorios, 1 baño. . Yohara macarena stewart tel.","Casa en Venta Metro Rondizzoni - General Rondizzoni / Club Hipico
, Santiago"
"1594177420-1182","https://www.icasas.cl/venta/casas/santiago/providencia/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Casa en Venta Metro Rondizzoni - Chilevision Canal De Tv
, Santiago, Santiago","https://www.icasas.cl/propiedad/421443","UF 4.370","147m2","4 Dormitorios","2 Baños","Venta de casa en santiago centro. Emplazada en barrio patrimonial casa amplia y solida, cercana a estaciones de metro rondizzoni (l2), presidente pedro aguirre cerda (l6) y parque o'higgins. Casa clásica en muy buen estado, cuatro amplias habitaciones, dos baños, living comedor separados, gran cocina, patio de luz, dos bodegas. Cerámica en todas las dependencias. Ideal para consultas medicas, oficina o residencial. @¬código fuenzalida fsb769. Ljubica andarcia tel.","Casa en Venta Metro Rondizzoni - Chilevision Canal De Tv
, Santiago"
