,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3906.0,3906,3906,3906,3906,3906,3906,3906.0,3906,3906,3906.0,3906.0,3906,3906.0,3906,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906
unique,,1,1,47,13,2,2,,5,8,,,2,,21,,,,,,,,,,,,,3880
top,,portal inmobiliario,rm,las condes,2020-07-20,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/7624-estoril-820-casas-nva
freq,,3906,3906,760,907,1984,3878,,3855,3883,,,3552,,1338,,,,,,,,,,,,,5
mean,20200721.0,,,,,,,-15.774961597542243,,,3172.0378904249874,-15.842293906810037,,3.2455197132616487,,531.7014848950333,216.01510496671787,3.2739375320020483,2.5404505888376856,0.337173579109063,0.9728622631848438,0.5289298515104967,0.4902713773681516,9197.515360983103,123.37967229902713,5805.493087557604,580.6533538146441,
std,0.0,,,,,,,3.136795433864854,,,20951.804159367635,3.059330224147573,,1.618360292743026,,4690.700661632277,4125.616023628431,1.3330129957359662,1.1272561734834294,0.47280523240369643,0.9213811655414346,0.5012739025958163,0.49996934921161496,5890.448049530682,760.2039125909317,46741.9178527937,5228.147949805489,
min,20200721.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,0.0,72.0,30.0,
25%,20200721.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,80.0,70.0,2.0,2.0,0.0,0.0,0.0,0.0,4196.25,54.0,1003.0,191.0,
50%,20200721.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,158.0,115.0,3.0,2.0,0.0,1.0,1.0,0.0,8300.0,71.0,2123.0,266.0,
75%,20200721.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,330.0,168.0,4.0,3.0,1.0,1.0,1.0,1.0,13000.0,90.0,4032.0,388.75,
max,20200721.0,,,,,,,85.0,,,350000.0,135.0,,5.0,,220810.0,250201.0,14.0,8.0,1.0,8.0,2.0,1.0,24990.0,24600.0,1803990.0,190409.0,
