,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4007,4007,4007,4007,3996,4007,4007,30,4007,4005,3999,3925,2072,104,4007,4007,4007
unique,1,1,2,3,7,3229,339,30,796,440,23,30,89,19,1131,3988,3639
top,portal inmobiliario,rm,aparment,propiedades usadas,23-07-2020,valle la dehesa la dehesa lo barnechea,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,50.41 m totales 2 dormitorios 2 banos,superficie total 5000 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 10.500,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva#position=40&type=item&tracking_id=6a8cdce7-f18a-4177-9602-abacd085a404,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4007,4007,2013,2368,1287,52,314,1,71,282,1216,842,468,72,50,4,18
