,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4041,4041,4041,4041,4041,4041,4041.0,4041,4041,4041.0,4041.0,4041,4041.0,4041.0,4041.0,4041.0,4041.0,4041.0,4041.0,4041.0,4041
unique,1,1,50,8,2,2,,5,9,,,2,,,,,,,,,3982
top,portal inmobiliario,rm,las condes,08/03/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,4041,4041,884,1304,2030,3998,,3969,3994,,,3704,,,,,,,,,6
mean,,,,,,,-15.641920316753279,,,1630.7389260084137,-15.920316753278891,,386.04726552833455,194.5973768869092,3.293739173471913,2.5535758475624846,0.9307102202425143,0.5644642415243751,0.49096758228161347,9350.341252165306,
std,,,,,,,4.252223026595198,,,12829.245494949995,1.4010552948568753,,993.8574222370702,3935.7768547617466,1.440084877955136,1.1118901520155615,0.9204226942315209,0.5008549781912282,0.49998027603504414,5852.46794672376,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1006.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,81.0,71.0,2.0,2.0,0.0,0.0,0.0,4340.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,154.0,115.0,3.0,2.0,1.0,1.0,0.0,8400.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,315.0,165.0,4.0,3.0,1.0,1.0,1.0,12990.0,
max,,,,,,,100.0,,,290000.0,25.0,,19000.0,250201.0,30.0,15.0,12.0,3.0,1.0,24990.0,
