,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3931.0,3931,3931,3931,3931,3931,3931,3931.0,3931,3931,3931.0,3931.0,3931,3931.0,3931,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931
unique,,1,1,48,6,2,2,,6,7,,,2,,21,,,,,,,,,,,,,,3903
top,,portal inmobiliario,rm,las condes,2020-07-23,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva
freq,,3931,3931,686,1401,1977,3896,,3884,3909,,,3442,,1316,,,,,,,,,,,,,,4
mean,20200725.0,,,,,,,-15.806156194352582,,,3109.5802594759602,-15.82727041465276,,3.2452302213177306,,433.4118544899517,197.84049860086492,2402.829814296617,3.3067921648435514,2.6461460188247266,0.3408801831595014,0.9216484355125922,0.5141185448995167,0.5258204019333503,9448.242431951157,188.30119562452302,5077.806156194352,450.0796235054693,
std,0.0,,,,,,,3.0919863186027574,,,19140.396094339336,5.7443348928938125,,1.5978355323563451,,1035.0580183376603,3993.942213506942,33679.822241539005,1.396834721426215,1.2270062360701397,0.47406545391645527,0.9009279522240925,0.503414908566929,0.4993963860837681,5984.038328634391,1123.6873349893037,29515.301830613847,2393.7351899941323,
min,20200725.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,15.0,-16.0,-100.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,1.0,91.0,27.0,
25%,20200725.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,80.0,65.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,4085.5,58.0,952.0,186.0,
50%,20200725.0,,,,,,,-16.0,,,-16.0,-16.0,,3.0,,160.0,118.0,25.0,3.0,3.0,0.0,1.0,1.0,1.0,9000.0,73.0,2287.0,262.0,
75%,20200725.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,350.0,170.0,127.0,4.0,4.0,1.0,1.0,1.0,1.0,13500.0,90.0,4334.5,388.0,
max,20200725.0,,,,,,,100.0,,,300000.0,302.0,,5.0,,15000.0,250201.0,889900.0,13.0,8.0,1.0,10.0,3.0,1.0,24990.0,24600.0,1763299.0,143942.0,
