,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3458,3458,3458,3458,3458,3458,3458.0,3458,3458,3458.0,3458.0,3458,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458
unique,1,1,49,10,2,2,,6,10,,,2,,,,,,,,,3422
top,portal inmobiliario,rm,las condes,08/06/2020,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,3458,3458,604,880,1994,3411,,3338,3422,,,3054,,,,,,,,,6
mean,,,,,,,-15.215153267784848,,,10025.821862348179,-15.941584731058414,,452.1946211683054,213.13996529786004,3.333718912666281,2.5430884904569115,0.8643724696356275,0.4684788895315211,0.45951417004048584,9076.955176402545,
std,,,,,,,6.08054904157723,,,45500.93475261747,1.1625483608248401,,1276.391953916636,4279.395949058903,1.4430554852739195,1.158545342759594,0.9296004423566046,0.5059850638698706,0.49843027643819343,6021.160140030532,
min,,,,,,,-16.0,,,-16.0,-16.0,,19.0,-16.0,1.0,1.0,0.0,0.0,0.0,1004.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,83.0,68.0,2.0,2.0,0.0,0.0,0.0,3819.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,170.0,119.0,3.0,2.0,1.0,0.0,0.0,7848.5,
75%,,,,,,,-16.0,,,-16.0,-16.0,,365.0,170.0,4.0,3.0,1.0,1.0,1.0,12950.0,
max,,,,,,,100.0,,,1000000.0,16.0,,27410.0,250201.0,22.0,7.0,10.0,3.0,1.0,24990.0,
