SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200725,portal inmobiliario,rm,vitacura,2020-07-23,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO160,180,160,12.0,3,3,1.0,1,1,1,13800,86.0,3234.0,234,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/4679212-andres-de-vera-p-hurtado-uda
20200725,portal inmobiliario,rm,providencia,2020-07-23,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,110,95,16.0,2,2,1.0,1,1,0,9500,100.0,1489.0,156,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5733737-pocuro-colegio-san-ignacio-uda
20200725,portal inmobiliario,rm,las condes,2020-07-23,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,86,78,10.0,2,2,1.0,2,1,0,8000,103.0,1319.0,164,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5597134-san-carlos-de-apoquindo-carlos-pena-otaegui-uda
20200725,portal inmobiliario,rm,las condes,2020-07-21,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,140TO150,160,150,7.0,5,4,1.0,2,1,0,12900,86.0,4042.0,313,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5729145-pdte-errazuriz-escuela-militar-uda
20200725,portal inmobiliario,rm,nunoa,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,90TO100,106,94,13.0,3,3,1.0,1,1,1,7920,84.0,1827.0,230,https://www.portalinmobiliario.com/mlc-538162947-holanda-irarrazaval-metro-chile-espana-_jm
20200725,portal inmobiliario,rm,lo barnechea,2020-07-23,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,110TO120,145,115,26.0,3,3,1.0,1,1,1,10500,91.0,2254.0,214,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5422619-asis-balaguer-uda
20200725,portal inmobiliario,rm,santiago,2020-07-21,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,37,32,16.0,1,1,1.0,0,1,1,2800,88.0,306.0,109,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5728979-teatinos-uda
20200725,portal inmobiliario,rm,vitacura,2020-07-23,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,190TO2H,222,192,16.0,4,4,1.0,1,1,0,13700,71.0,4641.0,338,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/4729942-manquehue-espoz-uda
20200725,portal inmobiliario,rm,macul,2020-07-23,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,61,58,5.0,2,2,1.0,1,1,1,3500,60.0,769.0,219,https://www.portalinmobiliario.com/mlc-538067827-departamento-en-venta-de-2-dorm-en-macul-_jm
20200725,portal inmobiliario,rm,las condes,2020-07-21,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,124,98,27.0,3,3,1.0,1,1,0,8900,91.0,2032.0,228,https://www.portalinmobiliario.com/mlc-537574903-apoquindo-interior-5085-las-condes-chile-_jm
20200725,portal inmobiliario,rm,huechuraba,2020-07-23,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,80TO90,91,74,23.0,2,2,1.0,1,1,0,6200,84.0,1070.0,172,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5732766-santa-clara-rinconada-el-salto-uda
