,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3936,3936,3936,3936,3936,3936,3936.0,3936,3936,3936.0,3936.0,3936,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936
unique,1,1,47,7,2,2,,6,9,,,2,,,,,,,,,3810
top,portal inmobiliario,rm,las condes,2020-07-23,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva
freq,3936,3936,744,1275,1981,3902,,3894,3912,,,3464,,,,,,,,,4
mean,,,,,,,-15.827743902439025,,,2567.592479674797,-15.860772357723578,,426.2632113821138,199.8069105691057,3.343241869918699,2.696138211382114,0.8960873983739838,0.5157520325203252,0.5147357723577236,9759.888211382115,
std,,,,,,,3.001702624251025,,,17749.49063694471,5.202621352085136,,1011.3857967228472,3989.7378927279015,1.3797666813553506,1.2151710732166343,0.904106085286644,0.5028567371427928,0.4998463106116563,6035.594331664453,
min,,,,,,,-16.0,,,-16.0,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,83.0,70.0,2.0,2.0,0.0,0.0,0.0,4340.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,165.0,120.0,3.0,3.0,1.0,1.0,1.0,9500.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,350.0,170.0,4.0,4.0,1.0,1.0,1.0,13800.0,
max,,,,,,,100.0,,,300000.0,302.0,,15000.0,250201.0,13.0,8.0,10.0,3.0,1.0,25000.0,
