,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4009,4009,4009,4009,4009,4009,4009,22,4009,4007,4001,3923,2158,127,4009,4009,4009
unique,1,1,2,3,7,3356,336,22,804,434,20,26,80,19,1139,3995,3752
top,portal inmobiliario,rm,aparment,propiedades usadas,27-07-2020,valle la dehesa la dehesa lo barnechea,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,50.41 m totales 2 dormitorios 2 banos,superficie total 5000 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 10.500,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva#position=15&type=item&tracking_id=657d85ac-6644-483d-a152-3a58c0d37455,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4009,4009,2012,2359,1197,51,288,1,69,261,1213,881,511,90,48,4,19
