,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4015,4015,4015,4015,4014,4015,4015,27,4002,4000,3994,3921,2783,178,4015,4015,4015
unique,1,1,2,3,6,3601,347,23,827,455,29,21,90,22,1128,3996,3877
top,portal inmobiliario,rm,aparment,propiedades usadas,30-07-2020,general amengual metro ecuador estacion central,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,38.81 m totales 1 dormitorios 1 banos,superficie total 300 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 1.799,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8194-egana-style-nva#position=50&type=item&tracking_id=bf3766c3-ec84-4f94-8401-cbcf4b846e83,descripcion este proyecto consta de 2 torres de 11 y 10 pisos respectivamente con tres subterraneos y 3 ascensores por torre. caracteristicas y terminaciones: ventanas termopanel y piso flotante vinilico. cocinas integradas con cubierta de cuarzo y encimera vitroceramica. dormitorios principales amplios con enchufes usb. equipamiento comunitario: conexion wifi en todos los espacios comunes cowork taller de bicicletas bicicleteros cerrados gimnasios funcionales por torre piscina de adultos y ninos lavanderia con sector de tv sala gourmet y salas multiuso. * valor no incluye bodega (desde uf 37 hasta uf 60) ni estacionamiento (desde uf 390 hasta uf 410)
freq,4015,4015,2018,2246,1094,41,143,2,54,232,1331,823,532,127,43,4,8
