,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4010,4010,4010,4010,4005,4010,4010,27,4006,4005,4000,3885,2366,157,4010,4010,4010
unique,1,1,2,3,13,3607,482,27,853,459,23,23,101,33,1186,3993,3868
top,portal inmobiliario,rm,aparment,propiedades usadas,20-07-2020,el golf barrio el golf las condes,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,425.25 m totales 3 dormitorios 3 banos,superficie total 80 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 10.500,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/7624-estoril-820-casas-nva#position=2&type=item&tracking_id=9f34f961-d58a-47da-8193-2511379f5122,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4010,4010,2011,3186,952,31,293,1,66,207,1375,988,646,75,42,5,10
