SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200729,portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,1.0,80TO90,42,42,2,1,0.0,1,1,0,2810,67.0,388.0,138,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736847-toro-mazotte-uda
20200729,portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,80TO90,43,43,2,1,0.0,0,0,0,2325,54.0,290.0,124,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736980-buzo-sobenes-uda
20200729,portal inmobiliario,rm,las condes,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,140TO150,170,149,4,4,1.0,1,1,1,12300,83.0,3659.0,297,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5738466-martin-alonso-pinzon-uda
20200729,portal inmobiliario,rm,las condes,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO160,180,160,4,4,1.0,1,1,1,14500,91.0,3906.0,269,https://www.portalinmobiliario.com/mlc-538257230-departamento-en-venta-de-4-dorm-en-las-condes-_jm
20200729,portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,Y,5.0,80TO90,90,80,2,2,1.0,0,0,0,5104,64.0,1029.0,201,https://www.portalinmobiliario.com/mlc-538686494-luis-thayer-ojeda-_jm
20200729,portal inmobiliario,rm,lo barnechea,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,110TO120,130,120,3,3,1.0,1,1,1,9500,79.0,2201.0,231,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5740995-avla-dehesarobles-c_260899-uda
20200729,portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO160,180,160,4,3,1.0,0,0,1,13900,87.0,3150.0,226,https://www.portalinmobiliario.com/mlc-538507355-departamento-en-venta-de-4-dormitorios-en-las-condes-_jm
20200729,portal inmobiliario,rm,nunoa,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,100TO110,127,107,3,3,1.0,1,1,1,10500,98.0,2127.0,202,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5741484-simon-bolivar-irrarazaval-c_263495-uda
20200729,portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO120,117,117,2,2,0.0,0,0,0,6423,55.0,1374.0,213,https://www.portalinmobiliario.com/mlc-538515026-av-francisco-bilbao-tobalaba-metro-fco-bilbao-_jm
20200729,portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO140,160,140,13,3,1.0,1,1,1,11900,85.0,5809.0,488,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5741232-manquehue-carlos-alvarado-c_263049-uda
20200729,portal inmobiliario,rm,santiago,2020-07-27,aparment,usada,-16,disponible,-16,45000,-16,Y,4.0,80TO90,49,46,2,1,1.0,1,1,1,2700,59.0,590.0,218,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5739875-metro-matta-2d-uda
20200729,portal inmobiliario,rm,vitacura,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO120,147,119,3,3,1.0,2,1,1,13500,113.0,2701.0,200,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5738359-arturo-ureta-las-hualtatas-uda
20200729,portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,120TO130,179,124,3,3,1.0,1,1,0,10299,83.0,2737.0,265,https://www.portalinmobiliario.com/mlc-538662731-departamento-en-venta-de-3-dormitorios-en-providencia-_jm
20200729,portal inmobiliario,rm,nunoa,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,90TO100,98,98,3,2,0.0,1,1,0,5729,58.0,1519.0,265,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5743915-alcalde-carlos-aldunate-duble-almeyda-uda
20200729,portal inmobiliario,rm,santiago,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,90TO100,97,97,3,2,0.0,1,1,0,4687,48.0,1503.0,320,https://www.portalinmobiliario.com/mlc-538257551-departamento-en-venta-de-3-dorm-en-santiago-_jm
20200729,portal inmobiliario,rm,lo barnechea,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,130TO140,179,140,3,3,1.0,1,1,1,15900,114.0,2761.0,173,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5742640-valle-del-monasterio-c_263783-uda
20200729,portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,100TO110,116,103,3,2,1.0,1,1,0,7990,78.0,1812.0,226,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5742513-3d-2b-av-r-lyonel-vergellas-violetas-uda
