Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"toctoc","Santiago","19-03-2020","Aparment","TBD","100 m²","4.0","3.0","TBD","$  140.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/morande-piso-parquet/1447397?o=resultado_lista_seo_info"
"toctoc","Santiago","20-03-2020","Aparment","TBD","0 m²","3.0","2.0","TBD","UF  4.585","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/santo-domingo-monjitas/1447897?o=resultado_lista_seo_info"
"toctoc","Santiago","30-05-2020","Aparment","TBD","0 m²","3.0","2.0","TBD","$  175.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/santa-isabel-marin/1229723?o=resultado_lista_seo_info"
"toctoc","Santiago","25-03-2020","Aparment","TBD","127 m²","3.0","2.0","TBD","UF  6.600","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/santiago-centro-catedral-amplitud-y-calidad/1450659?o=resultado_lista_seo_info"
"toctoc","Santiago","1/4/2020","Aparment","TBD","120 m²","3.0","2.0","TBD","$  168.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/calle-san-antonio-418/1453384?o=resultado_lista_seo_info"
"toctoc","Santiago","6/7/2020","Aparment","TBD","120 m²","3.0","2.0","TBD","$  168.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/dpto-oficina-120-mts-santiago/1510790?o=resultado_lista_seo_info"
"toctoc","Santiago","4/6/2020","Aparment","TBD","0 m²","3.0","2.0","TBD","UF  4.900","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/av-santa-isabel-carmen-santiago/1491402?o=resultado_lista_seo_info"
"toctoc","Santiago","17-04-2020","House","TBD","242 m²","7.0","3.0","TBD","UF  6.450","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/vende-casa-comercial-o-habitacional-barrio-yungay7-libertad/1360317?o=resultado_lista_seo_info"
"toctoc","Santiago","22-03-2020","House","TBD","0 m²","9.0","4.0","TBD","$  180.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/san-ignacio-santa-isabel/1448947?o=resultado_lista_seo_info"
"toctoc","Santiago","30-06-2020","House","TBD","0 m²","5.0","1.0","TBD","$  140.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/entre-carmen-y-lira/1439422?o=resultado_lista_seo_info"
"toctoc","Santiago","28-04-2020","House","TBD","134 m²","5.0","2.0","TBD","UF  6.500","https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/moneda-3081-santiago/1467871?o=resultado_lista_seo_info"
"toctoc","Santiago","20-02-2020","House","TBD","226 m²","5.0","2.0","TBD","$  149.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/oportunidad-cueto-agustinas-para-reparar-ideal-inversionistas/1426180?o=resultado_lista_seo_info"
"toctoc","Santiago","23-02-2020","House","TBD","190 m²","8.0","2.0","TBD","$  150.000.000","https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/lira-1212-santiago/1428095?o=resultado_lista_seo_info"
