Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"icasas","Huechuraba","TBD","House","TBD","140m2","4 Dormitorios","3 Baños","TBD","UF 5.700","https://www.icasas.cl/propiedad/418881"
"icasas","Huechuraba","TBD","House","TBD","128m2","4 Dormitorios","3 Baños","TBD","UF 6.000","https://www.icasas.cl/propiedad/315099"
"icasas","Huechuraba","TBD","House","TBD","139m2","3 Dormitorios","3 Baños","TBD","UF 6.900","https://www.icasas.cl/propiedad/399616"
"icasas","Huechuraba","TBD","House","TBD","158m2","5 Dormitorios","4 Baños","TBD","UF 6.450","https://www.icasas.cl/propiedad/427590"
"icasas","Huechuraba","TBD","House","TBD","140m2","4 Dormitorios","3 Baños","TBD","UF 6.000","https://www.icasas.cl/propiedad/433421"
"icasas","Huechuraba","TBD","House","TBD","140m2","4 Dormitorios","4 Baños","TBD","UF 6.500","https://www.icasas.cl/propiedad/469505"
"icasas","Huechuraba","TBD","House","TBD","120m2","5 Dormitorios","3 Baños","TBD","UF 5.495,21","https://www.icasas.cl/propiedad/467807"
"icasas","Huechuraba","TBD","House","TBD","130m2","3 Dormitorios","3 Baños","TBD","UF 6.000","https://www.icasas.cl/propiedad/416682"
"icasas","Huechuraba","TBD","House","TBD","170m2","4 Dormitorios","4 Baños","TBD","UF 5.800","https://www.icasas.cl/propiedad/335756"
"icasas","Huechuraba","TBD","House","TBD","138m2","5 Dormitorios","3 Baños","TBD","UF 6.950","https://www.icasas.cl/propiedad/468911"
"icasas","Huechuraba","TBD","House","TBD","139m2","3 Dormitorios","3 Baños","TBD","UF 6.500","https://www.icasas.cl/propiedad/439458"
"icasas","Nunoa","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 4.910,04","https://www.icasas.cl/propiedad/463092"
"icasas","Nunoa","TBD","Aparment","TBD","100m2","4 Dormitorios","3 Baños","TBD","UF 5.800","https://www.icasas.cl/propiedad/376353"
"icasas","Nunoa","TBD","Aparment","TBD","110m2","3 Dormitorios","3 Baños","TBD","UF 5.885,09","https://www.icasas.cl/propiedad/405349"
"icasas","Nunoa","TBD","Aparment","TBD","104m2","4 Dormitorios","3 Baños","TBD","UF 7.000","https://www.icasas.cl/propiedad/423741"
"icasas","Nunoa","TBD","Aparment","TBD","115m2","3 Dormitorios","2 Baños","TBD","UF 6.477,08","https://www.icasas.cl/propiedad/409154"
"icasas","Nunoa","TBD","Aparment","TBD","126m2","4 Dormitorios","3 Baños","TBD","UF 6.300","https://www.icasas.cl/propiedad/329601"
"icasas","Nunoa","TBD","Aparment","TBD","105m2","3 Dormitorios","2 Baños","TBD","UF 6.000","https://www.icasas.cl/propiedad/413252"
"icasas","Nunoa","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 6.900","https://www.icasas.cl/propiedad/386124"
"icasas","Nunoa","TBD","Aparment","TBD","103m2","4 Dormitorios","nan","TBD","UF 6.300","https://www.icasas.cl/propiedad/467486"
"icasas","Nunoa","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 6.755,66","https://www.icasas.cl/propiedad/357388"
"icasas","Nunoa","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 6.616,37","https://www.icasas.cl/propiedad/304943"
"icasas","Nunoa","TBD","Aparment","TBD","9.088m2","3 Dormitorios","2 Baños","TBD","UF 6.200","https://www.icasas.cl/propiedad/454891"
"icasas","Nunoa","TBD","Aparment","TBD","160m2","3 Dormitorios","2 Baños","TBD","UF 6.900","https://www.icasas.cl/propiedad/467071"
"icasas","Nunoa","TBD","Aparment","TBD","130m2","3 Dormitorios","2 Baños","TBD","UF 6.253","https://www.icasas.cl/propiedad/413242"
"icasas","Nunoa","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 6.700","https://www.icasas.cl/propiedad/376438"
"icasas","Nunoa","TBD","House","TBD","133m2","3 Dormitorios","3 Baños","TBD","UF 4.800","https://www.icasas.cl/propiedad/170907"
"icasas","Nunoa","TBD","House","TBD","100m2","3 Dormitorios","4 Baños","TBD","UF 5.676,15","https://www.icasas.cl/propiedad/456152"
"icasas","Nunoa","TBD","House","TBD","123m2","4 Dormitorios","1 Baño","TBD","UF 6.171","https://www.icasas.cl/propiedad/469071"
"icasas","Nunoa","TBD","House","TBD","100m2","3 Dormitorios","1 Baño","TBD","UF 6.407,43","https://www.icasas.cl/propiedad/454053"
"icasas","Nunoa","TBD","House","TBD","125m2","4 Dormitorios","2 Baños","TBD","UF 4.200","https://www.icasas.cl/propiedad/426271"
"icasas","Nunoa","TBD","House","TBD","100m2","5 Dormitorios","4 Baños","TBD","UF 6.500","https://www.icasas.cl/propiedad/441969"
"icasas","Nunoa","TBD","House","TBD","120m2","4 Dormitorios","2 Baños","TBD","UF 5.049,34","https://www.icasas.cl/propiedad/134580"
"icasas","Nunoa","TBD","House","TBD","130m2","3 Dormitorios","1 Baño","TBD","UF 5.919,91","https://www.icasas.cl/propiedad/380987"
"icasas","Nunoa","TBD","House","TBD","200m2","4 Dormitorios","3 Baños","TBD","UF 6.581,55","https://www.icasas.cl/propiedad/352715"
"icasas","Providencia","TBD","House","TBD","93m2-125m2","3-4 Dormitorios","3-4 Baños","TBD","Desde UF 5.555","https://www.icasas.cl/propiedad/462719"
"icasas","Providencia","TBD","House","TBD","275m2","4 Dormitorios","2 Baños","TBD","UF 6.718","https://www.icasas.cl/propiedad/406159"
"icasas","Providencia","TBD","House","TBD","161m2","4 Dormitorios","3 Baños","TBD","UF 6.233,32","https://www.icasas.cl/propiedad/411796"
"icasas","Providencia","TBD","House","TBD","100m2","3 Dormitorios","4 Baños","TBD","UF 5.676,15","https://www.icasas.cl/propiedad/456152"
"icasas","Providencia","TBD","House","TBD","140m2","4 Dormitorios","3 Baños","TBD","UF 5.900","https://www.icasas.cl/propiedad/469440"
"icasas","Providencia","TBD","House","TBD","100m2","4 Dormitorios","3 Baños","TBD","UF 4.178,76","https://www.icasas.cl/propiedad/413268"
"icasas","Providencia","TBD","House","TBD","122m2","4 Dormitorios","2 Baños","TBD","UF 5.049,34","https://www.icasas.cl/propiedad/455291"
"icasas","Providencia","TBD","House","TBD","119m2","3 Dormitorios","3 Baños","TBD","UF 4.990","https://www.icasas.cl/propiedad/454288"
"icasas","Providencia","TBD","House","TBD","166m2","5 Dormitorios","2 Baños","TBD","UF 6.616,37","https://www.icasas.cl/propiedad/386755"
"icasas","Providencia","TBD","House","TBD","147m2","4 Dormitorios","2 Baños","TBD","UF 4.370","https://www.icasas.cl/propiedad/421443"
"icasas","Las Condes","TBD","Aparment","TBD","120m2","4 Dormitorios","3 Baños","TBD","UF 6.900","https://www.icasas.cl/propiedad/417286"
"icasas","Las Condes","TBD","Aparment","TBD","110m2","3 Dormitorios","1 Baño","TBD","UF 6.090,54","https://www.icasas.cl/propiedad/148688"
"icasas","Las Condes","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 6.100","https://www.icasas.cl/propiedad/385383"
"icasas","Las Condes","TBD","Aparment","TBD","110m2","3 Dormitorios","3 Baños","TBD","UF 6.900","https://www.icasas.cl/propiedad/445211"
"icasas","Las Condes","TBD","Aparment","TBD","120m2","4 Dormitorios","3 Baños","TBD","UF 6.900","https://www.icasas.cl/propiedad/412126"
"icasas","Las Condes","TBD","Aparment","TBD","103m2","4 Dormitorios","3 Baños","TBD","UF 6.500","https://www.icasas.cl/propiedad/441887"
"icasas","Las Condes","TBD","Aparment","TBD","103m2","3 Dormitorios","2 Baños","TBD","UF 5.710,97","https://www.icasas.cl/propiedad/409936"
"icasas","Las Condes","TBD","House","TBD","200m2","3 Dormitorios","1 Baño","TBD","UF 5.327,92","https://www.icasas.cl/propiedad/431795"
"icasas","Las Condes","TBD","House","TBD","192m2","3 Dormitorios","1 Baño","TBD","UF 6.094,03","https://www.icasas.cl/propiedad/372752"
"icasas","Las Condes","TBD","House","TBD","333m2","3 Dormitorios","1 Baño","TBD","UF 6.094,03","https://www.icasas.cl/propiedad/372751"
"icasas","Las Condes","TBD","House","TBD","160m2","3 Dormitorios","1 Baño","TBD","UF 6.094,03","https://www.icasas.cl/propiedad/446379"
"icasas","Las Condes","TBD","House","TBD","112m2","4 Dormitorios","2 Baños","TBD","UF 5.571,68","https://www.icasas.cl/propiedad/381438"
"icasas","Las Condes","TBD","House","TBD","150m2","3 Dormitorios","1 Baño","TBD","UF 6.268,14","https://www.icasas.cl/propiedad/447655"
"icasas","Las Condes","TBD","House","TBD","270m2","3 Dormitorios","1 Baño","TBD","UF 6.790,49","https://www.icasas.cl/propiedad/375139"
