,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4011,4011,4011,4011,4011,4011,4011.0,4011,4011,4011.0,4011.0,4011,4011.0,4011.0,4011.0,4011.0,4011.0,4011.0,4011.0,4011.0,4011
unique,1,1,49,13,2,2,,6,4,,,2,,,,,,,,,3982
top,portal inmobiliario,rm,las condes,17/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/la-reina-metropolitana/7653-townhouse-garden-nva
freq,4011,4011,845,840,2010,3983,,3949,3999,,,3619,,,,,,,,,6
mean,,,,,,,-15.757666417352281,,,3261.123909249564,-15.916230366492147,,514.1426078284717,213.52954375467465,3.2403390675641983,2.5213163799551235,0.9645973572675144,0.5287958115183246,0.48342059336823734,9242.773622538021,
std,,,,,,,3.1058809857546743,,,21229.163334506295,1.606397233130342,,4627.464735727985,4071.285686727827,1.3289706082239818,1.118973461864742,1.3843598072730279,0.5017237329267508,0.4997873536491074,5929.968272960365,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1041.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,80.0,70.0,2.0,2.0,0.0,0.0,0.0,4166.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,159.0,117.0,3.0,2.0,1.0,1.0,0.0,8450.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,318.0,170.0,4.0,3.0,1.0,1.0,1.0,13000.0,
max,,,,,,,85.0,,,350000.0,33.0,,220810.0,250201.0,14.0,8.0,66.0,2.0,1.0,25000.0,
