,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4015,4015,4015,4015,4015,4015,4015.0,4015,4015,4015.0,4015.0,4015,4015.0,4015.0,4015.0,4015.0,4015.0,4015.0,4015.0,4015.0,4015
unique,1,1,49,7,2,2,,3,4,,,2,,,,,,,,,3990
top,portal inmobiliario,rm,las condes,30/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8194-egana-style-nva
freq,4015,4015,811,1094,2018,3993,,3955,4000,,,3613,,,,,,,,,8
mean,,,,,,,-15.596762141967622,,,1840.2211706102116,-15.958156911581568,,10019.295392278955,134.0420921544209,3.2772104607721046,2.539227895392279,0.900373599003736,0.5315068493150685,0.49514321295143215,9373.28692403487,
std,,,,,,,4.381989623589613,,,12860.560174847056,1.13390585657097,,609646.8258111353,131.9230799557792,1.3771269057314395,1.1115612498536966,0.897340009736896,0.5030461231174224,0.5000386862593657,5916.713174693809,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1090.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,80.0,70.0,2.0,2.0,0.0,0.0,0.0,4166.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,158.0,118.0,3.0,2.0,1.0,1.0,0.0,8500.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,330.0,170.0,4.0,3.0,1.0,1.0,1.0,13000.0,
max,,,,,,,72.0,,,220000.0,25.0,,38630000.0,5275.0,14.0,8.0,11.0,3.0,1.0,24990.0,
