,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3458.0,3458,3458,3458,3458,3458,3458,3458.0,3458,3458,3458.0,3458.0,3458,3458.0,3458,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458
unique,,1,1,49,9,2,2,,6,10,,,2,,20,,,,,,,,,,,,,3422
top,,portal inmobiliario,rm,las condes,2020-08-06,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,,3458,3458,604,880,1994,3411,,3338,3422,,,3054,,1188,,,,,,,,,,,,,6
mean,20200807.0,,,,,,,-15.215153267784848,,,10025.821862348179,-15.941584731058414,,3.0213996529786002,,452.1946211683054,213.13996529786004,3.333718912666281,2.5430884904569115,0.2634470792365529,0.8643724696356275,0.4684788895315211,0.45951417004048584,9076.955176402545,77.93551185656449,5118.9010989010985,482.28368999421633,
std,0.0,,,,,,,6.08054904157723,,,45500.93475261747,1.1625483608248401,,1.7131944211273533,,1276.391953916636,4279.395949058903,1.4430554852739195,1.158545342759594,0.4405665058262753,0.9296004423566046,0.5059850638698706,0.49843027643819343,6021.160140030532,262.99266679566824,31820.054856049424,2880.607646736104,
min,20200807.0,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,,19.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1004.0,0.0,-1584.0,-1577.0,
25%,20200807.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,83.0,68.0,2.0,2.0,0.0,0.0,0.0,0.0,3819.0,52.0,966.25,195.0,
50%,20200807.0,,,,,,,-16.0,,,-16.0,-16.0,,3.0,,170.0,119.0,3.0,2.0,0.0,1.0,0.0,0.0,7848.5,68.0,2162.0,272.0,
75%,20200807.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,365.0,170.0,4.0,3.0,1.0,1.0,1.0,1.0,12950.0,86.75,4228.75,399.0,
max,20200807.0,,,,,,,100.0,,,1000000.0,16.0,,5.0,,27410.0,250201.0,22.0,7.0,1.0,10.0,3.0,1.0,24990.0,11950.0,1763299.0,143942.0,
