,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3936.0,3936,3936,3936,3936,3936,3936,3936.0,3936,3936,3936.0,3936.0,3936,3936.0,3936,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936.0,3936
unique,,1,1,47,7,2,2,,6,9,,,2,,21,,,,,,,,,,,,,3810
top,,portal inmobiliario,rm,las condes,2020-07-23,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva
freq,,3936,3936,744,1275,1981,3902,,3894,3912,,,3464,,1253,,,,,,,,,,,,,4
mean,20200727.0,,,,,,,-15.827743902439025,,,2567.592479674797,-15.860772357723578,,3.2952235772357725,,426.2632113821138,199.8069105691057,3.343241869918699,2.696138211382114,0.3551829268292683,0.8960873983739838,0.5157520325203252,0.5147357723577236,9759.888211382115,161.32596544715446,5059.152184959349,440.9819613821138,
std,0.0,,,,,,,3.001702624251025,,,17749.49063694471,5.202621352085136,,1.6148099681866679,,1011.3857967228472,3989.7378927279015,1.3797666813553506,1.2151710732166343,0.4786295207335016,0.904106085286644,0.5028567371427928,0.4998463106116563,6035.594331664453,928.9475624438394,29433.22001828785,2381.7407907532265,
min,20200727.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,1.0,109.0,28.0,
25%,20200727.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,83.0,70.0,2.0,2.0,0.0,0.0,0.0,0.0,4340.0,59.0,1012.0,190.0,
50%,20200727.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,165.0,120.0,3.0,3.0,0.0,1.0,1.0,1.0,9500.0,74.0,2369.0,261.5,
75%,20200727.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,350.0,170.0,4.0,4.0,1.0,1.0,1.0,1.0,13800.0,91.0,4426.0,381.0,
max,20200727.0,,,,,,,100.0,,,300000.0,302.0,,5.0,,15000.0,250201.0,13.0,8.0,1.0,10.0,3.0,1.0,25000.0,24376.0,1763299.0,143942.0,
