,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4041,4041,4041,4041,4022,4041,4041,73,4036,4035,3672,3528,2513,234,4041,4041,4041
unique,1,1,2,3,8,3406,366,73,860,450,38,34,125,29,1157,3996,3638
top,portal inmobiliario,rm,aparment,propiedades usadas,06-08-2020,san carlos de apoquindo san carlos de apoquindo las condes,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,72.58 m totales 2 dormitorios 2 banos,dormitorios 1,banos 1,dormitorios 3,banos 3,banos 2,bodegas 1,uf 12.500,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva#position=12&type=item&tracking_id=d67e3654-8de4-495c-ba63-10153ace0e56,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4041,4041,2028,2194,1021,18,201,1,190,259,1205,638,457,140,41,6,7
