Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","independencia","26/08/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","47","44","2","1","1","0","1","2190","https://www.portalinmobiliario.com/mlc-542688714-gamero-independencia-especial-inversionistas-_jm"
"portal inmobiliario","rm","nunoa","28/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","60","54","2","2","0","0","0","4300","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5799652-av-condell-uda"
"portal inmobiliario","rm","providencia","28/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","130","126","3","2","1","1","0","10500","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5798791-avda-santa-maria-parque-balmaceda-uda"
"portal inmobiliario","rm","vitacura","26/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","140","140","4","3","3","1","0","10900","https://www.portalinmobiliario.com/mlc-542688794-departamento-en-vitacura-_jm"
"portal inmobiliario","rm","nunoa","27/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","69","59","2","2","1","1","1","5600","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5798040-celerino-pereira-tobalaba-uda"
"portal inmobiliario","rm","santiago","28/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","300000","269","4","3","0","0","0","19800","https://www.portalinmobiliario.com/mlc-543072647-departamento-en-venta-el-remanso-_jm"
"portal inmobiliario","rm","santiago","27/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","39","37","1","1","0","0","0","2361","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5797758-compania-de-jesus-uda"
"portal inmobiliario","rm","las condes","27/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","132","102","3","2","1","1","1","11000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5798256-los-militaresnoruega-uda"
"portal inmobiliario","rm","huechuraba","28/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","157","120","3","3","2","1","0","8100","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5799616-rinconada-el-salto-895-uda"
"portal inmobiliario","rm","santiago","28/08/2020","aparment","usada","3","Done","-16","-16","-16","Y","32","32","1","1","0","0","0","2000","https://www.portalinmobiliario.com/mlc-543084750-departamento-excelente-ubicacion-_jm"
"portal inmobiliario","rm","quilicura","28/08/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","43","43","2","1","0","0","0","1107","https://www.portalinmobiliario.com/venta/departamento/quilicura-metropolitana/5800132-caspana-222-uda"
"portal inmobiliario","rm","macul","26/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","81","75","3","2","1","1","1","5000","https://www.portalinmobiliario.com/mlc-542682263-espectacular-departamento-en-venta-macul-_jm"
"portal inmobiliario","rm","santiago","25/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","34","32","1","1","1","1","1","2100","https://www.portalinmobiliario.com/mlc-542542192-departamento-en-venta-de-1-dorm-en-santiago-_jm"
"portal inmobiliario","rm","quilicura","25/08/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","52","52","3","1","1","1","0","1003","https://www.portalinmobiliario.com/venta/departamento/quilicura-metropolitana/5794203-camilo-henriquez-670-uda"
"portal inmobiliario","rm","providencia","27/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","45","45","1","1","0","0","1","4847","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5797531-av-suecia-metro-los-leones-uda"
"portal inmobiliario","rm","lo barnechea","25/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","90","90","4","2","1","1","0","5990","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5793800-av-las-condes-uda"
"portal inmobiliario","rm","las condes","26/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","93","93","2","3","1","1","1","7300","https://www.portalinmobiliario.com/mlc-542735248-canta-gallo-_jm"
"portal inmobiliario","rm","penalolen","27/08/2020","aparment","usada","-16","disponible","-16","-16","-16","N","152","140","4","4","2","1","0","9500","https://www.portalinmobiliario.com/venta/departamento/penalolen-metropolitana/5798066-precioso-departamento-con-vista-panoramica-completamente-remodelado-uda"
