,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4014,4014,4014,4014,4014,4014,4014.0,4014,4014,4014.0,4014.0,4014,4014.0,4014.0,4014.0,4014.0,4014.0,4014.0,4014.0,4014.0,4014
unique,1,1,49,6,2,2,,6,5,,,2,,,,,,,,,3958
top,portal inmobiliario,rm,las condes,30/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/7462-isa-mar-jonico-nva
freq,4014,4014,687,2029,2018,3991,,3977,3998,,,3536,,,,,,,,,6
mean,,,,,,,-15.827603388141505,,,996.6915794718485,-15.984055804683607,,10107.452416542103,136.71325361235674,3.2414050822122573,2.5087194818136522,0.8373193821624315,0.5104633781763827,0.4862979571499751,8995.480318883907,
std,,,,,,,3.0559489863991827,,,9742.070178310496,0.7311003643215659,,609726.219621006,226.47724042897096,1.4045845759097986,1.1445702560582325,0.890290057163335,0.5049124583625033,0.4998744890173019,6006.42287400138,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1072.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,73.0,65.0,2.0,2.0,0.0,0.0,0.0,3645.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,150.0,112.5,3.0,2.0,1.0,1.0,0.0,7700.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,333.75,168.0,4.0,3.0,1.0,1.0,1.0,12800.0,
max,,,,,,,68.0,,,200000.0,23.0,,38630000.0,10015.0,14.0,8.0,11.0,3.0,1.0,24950.0,
