,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4000,4000,4000,4000,4000,4000,4000.0,4000,4000,4000.0,4000.0,4000,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000
unique,1,1,48,8,2,2,,4,2,,,2,,,,,,,,,3947
top,portal inmobiliario,rm,las condes,27/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/6800-nice-nva
freq,4000,4000,784,1182,2003,3980,,3938,3998,,,3530,,,,,,,,,3
mean,,,,,,,-15.6435,,,1815.155,-15.84975,,498.82925,143.38575,3.28425,2.5935,0.908,0.5285,0.5045,9419.96975,
std,,,,,,,4.10872585566855,,,13875.278216395182,5.183135263553331,,2620.256717749459,424.9799359186511,1.3580916908516119,1.1760542189378302,0.877626661593234,0.5022457692237693,0.500042258779337,6018.601305390917,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,76.0,67.0,2.0,2.0,0.0,0.0,0.0,4000.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,160.0,118.0,3.0,2.0,1.0,1.0,1.0,8775.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,354.0,171.0,4.0,3.0,1.0,1.0,1.0,13490.0,
max,,,,,,,72.0,,,220000.0,302.0,,130000.0,23273.0,13.0,8.0,10.0,3.0,1.0,25000.0,
