,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3845,3845,3845,3845,3845,3845,3845.0,3845,3845.0,3845.0,3845.0,3845,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845
unique,1,1,49,8,2,2,,3,,,,2,,,,,,,,,3818
top,portal inmobiliario,rm,las condes,2020-08-24,house,usada,,disponible,,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/8253-condominio-parque-casanova-nva
freq,3845,3845,661,1097,1974,3806,,3754,,,,3395,,,,,,,,,4
mean,,,,,,,-15.526137841352405,,-16.0,7309.819765929779,-15.957867360208063,,13422.727958387517,13133.929518855657,3.3118335500650193,2.477243172951886,0.9066319895968791,0.5258777633289987,0.4624187256176853,8560.186475942783,
std,,,,,,,4.5749232534502084,,0.0,37191.68959036243,0.9933669859999038,,806341.4292119445,806344.6745321685,1.528357648025778,1.138126824426436,0.9068878648679017,0.5009551653253731,0.49865049565690295,5686.042201441213,
min,,,,,,,-16.0,,-16.0,-16.0,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,80.0,65.0,2.0,2.0,0.0,0.0,0.0,3663.0,
50%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,142.0,104.0,3.0,2.0,1.0,1.0,0.0,7300.0,
75%,,,,,,,-16.0,,-16.0,-16.0,-16.0,,300.0,160.0,4.0,3.0,1.0,1.0,1.0,12152.0,
max,,,,,,,68.0,,-16.0,800000.0,10.0,,50000000.0,50000000.0,41.0,9.0,10.0,2.0,1.0,24900.0,
