web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,Bdroom,Bath,Description,Province,PropertyType,PublishedDate,page,page-href
"1594175518-1063","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.500 Casa en Venta en Ñuñoa 5 dormitorios 4 baños / Italprop","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-nunoa-5-dormitorios-4-banos-codR76088255-0L0-49.html","6.500 UF","M2 construidos: 100","Dormitorios: 5","Baños: 4","Venta casa Ñuñoa / Holanda 
Dormitorios 5
Baños 4
Casa de 3 pisos 
Condominio de 5 casas 
Estacionamiento 1 
Pareada por un lado 
Contribuciones $ 55.000 
Gastos comunes $ 8.000
Orientación N / O/ P 
Metro Chile España 1 cuadra 
981364215","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175514-1062","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.769 Casa en Venta en Ñuñoa 3 dormitorios 2 baños / Procasa La Gloria","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-nunoa-3-dormitorios-2-banos-codR76269273-2L0-42027.html","6.769 UF","M2 construidos: 112","Dormitorios: 3","Baños: 2","COD 42027/ Casa de 1 piso , a pasos del mall portal Ñuñoa, Cuartel Pdi , supermercados. Con Antejardin y patio trasero . Cercana a futura linea 8 de metro  Con 250 mt2 de terreno y 112 mt2 construidos ( metraje entregado por  el dueño, sujeto a confirmación ) . 3 dormitorios, 2 baños , living comedor juntos , cocina independiente amoblada. Capacidad de 2  estacionamientos .    No deje de visitar !","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175511-1061","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","","","","","","","","","","","null",""
