Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"icasas","Santiago","","House","","140m2","4 Dormitorios","1 Baño","","UF 5.919,91","https://www.icasas.cl/propiedad/156670","vendo casa en santiago centro a 3 cuadras de metro ñuble. casa ubicada rogelio ugarte #1853. locomocion por av. ñuble superficie terreno 9 metros frontal y de largo 20metros. (180mts2) consta de 4 habitaciones 1 baño living comedor centro de lavado cocina independiente. gran patio interior. casa ideal para construir bodega de gran tamaño entrega inmediata precio conversable! agende visita"
"icasas","Santiago","","House","","129m2","3 Dormitorios","1 Baño","","UF 6.964,6","https://www.icasas.cl/propiedad/406693","casco historico casa con años de antigüedad de gran terreno en la calle moneda  129 m² a pasos del metro quinta normal y cerca de colegios y hospital excelente para la inversión en edificación de: centros de comercio de esparcimiento educación o encuentros sociales. la casa en si cuenta con 3 habitaciones 1 cocina 2 bodegas y un baño."
"icasas","Santiago","","House","","161m2","4 Dormitorios","3 Baños","","UF 6.233,32","https://www.icasas.cl/propiedad/411796","venta casa barrio universitario. grajales / av españa uso comercial o habitacional. actualmente cuenta con patente y resolución sanitaria. restaurante en funcionamiento. casa en excelente estado de conservación fachada e interiores. emplazada en barrio universitario reconocido por la alta concentración de universidades centros educacionales institutos y casas utilizadas comercialmente. barrio consolidado y de alto potencial. construcción de 161 mt2. distribución 1° piso: acceso principal con recibidor living comedor habitación de servicio y/o bodega cocina y 2 baños habilitados según resolución distribución 2° piso: 4 dormitorios 1 baño completo salita de estar. valor propiedad uf 7. 050 posibilidad de continuar con restaurante derecho de llave conservable. mayor información contactar ;569"
"icasas","Santiago","","House","","137m2","5 Dormitorios","3 Baños","","UF 6.750","https://www.icasas.cl/propiedad/410295","casa 1 piso ubicada en san miguel orientación nor poniente excelente conectividad a locomoción colectiva colegios centros médicos cercana 10 minutos a estación de metro ciudad del niño. vista amplia a sus espacios con luz natural. pensada para la familia y por su aislación térmica genera un ambiente muy grato. living y comedor separados con piso de madera ; 5 dormitorios con piso de madera; cocina separada y 4 baño con cerámica en pisos;; estacionamiento 2 vehículos. antejardín. 1er piso estructura en albañilería armada con resistencia y aislación térmica; electricidad diferencial 12 amperes; calefón de 12 litros; gas de balón. kp24917 publicado a través de kiteprop crm inmobiliario"
"icasas","Santiago","","House","","250m2","4 Dormitorios","3 Baños","","UF 5.200","https://www.icasas.cl/propiedad/428858","casa en venta ubicada en valle grande localidad urbana que pertenece a la comuna de lampa región metropolitana. excelente ubicación a pasos de supermercado colegios bencinera locales comerciales áreas verdes. a 3 minutos de ruta 5 norte a 15 minutos mall plaza norte y a 8 minutos de av. américo vespucio."
"icasas","Santiago","","House","","180m2","5 Dormitorios","2 Baños","","UF 5.583","https://www.icasas.cl/propiedad/346762","casa tradicional chilena de fachada continua en pleno centro de santiago con orientación oriente. la casa cuenta con cielos en doble altura 5 habitaciones living comedor comedor de diario cocina americana un baño completo un baño de servicio bodega y acceso principal de doble puerta. @¬ubicación con excelente conectividad entre 5 a 10 minutos en auto de la carretera norte sur la estación central estación de buses y parque o'higgins. a 10 minutos caminando del barrio maiggs del club hípico y la alameda. a 100 mts de paraderos de transantiago y a 18 minutos caminando del metro estación central línea 1. @¬. viviana rocco tel."
"icasas","Santiago","","House","","100m2","5 Dormitorios","2 Baños","","UF 4.819","https://www.icasas.cl/propiedad/406209","sya propiedades vende amplia casa emplazada en el centro de santiago sector de alta plusvalía a cuadras de la estación de metro cumming y próxima estación linea 7 propiedad cercana a barrio brasil y a pasaos de avenida cumming a cuadras de supermercados colegios universidades bancos comercio centros médicos hospitales y clínicas áreas verdes. casa de 3 pisos de 100mts2 de terreno y 222mts2 construidos distribuidos en el primer piso 2 dormitorios amplios 1 baño completo amplio living comedor patio de luz cocina bodega tiene entrada independiente de los otros 2 pisos. segundo y tercer piso se puede utilizar con departamento duplex distribuidos en 3 dormitorios amplios cocina 1 baño completo amplio living comedor con piso de ceramica. propiedad se encuentra para remodelar. propiedad idelamente se puede utilizar para área comercial como hostal restaurante cafetería o idealmente para inversión se pude arrendar por piezas. precio de la propiedad es conversable. contactar también como vía whastapp luis alberto seguel"
"icasas","Santiago","","House","","166m2","5 Dormitorios","2 Baños","","UF 6.616,37","https://www.icasas.cl/propiedad/386755","general rondizzoni / club hipico hermosa casa patrimonial 163/144 m2 barrio residencial patrimonio cultural. @¬1er piso living comedor separados baño de visita cocina cerrada patio techado remodelado lavadero bodega piso cerámica. @¬cuenta con amplio departamento interior independiente living comedor 1 dormitorio baño cocina cerrada. @¬2do piso 2 amplios dormitorios 1 baño. . yohara macarena stewart tel."
"icasas","Santiago","","House","","163m2","4 Dormitorios","2 Baños","","UF 4.178,76","https://www.icasas.cl/propiedad/444032","casa apta inversión para arriendo por piezas!! pareada por ambos costados. excelente ubicación en pleno barrio victoria entre santa rosa y san francisco a pasos de metro av. matta. living comedor separados 4 dormitorios 2 baños cocina con comedor de diario patio de luz pieza de servicio patio. terreno: 163 m2 (642 m. de frente x 2542 m. de fondo) construidos: 13363 m2 (110 m2 vivienda original 2346 m2 ampliación). patio: 2957 m2 coordine su visita al"
"icasas","Santiago","","House","","140m2","5 Dormitorios","2 Baños","","UF 4.422,52","https://www.icasas.cl/propiedad/437336","hermosa propiedad e sector tranquilo y residencial 2 pisos  5 dormitorios 3 baños uno de ellos principal en suite amplios espacios como living  comedor cocina patio espacioso y luminoso logia bodega  comedor de diario entrada vehicular para 2 autos. a una cuadra de av 5 de abril a pasos de calle las rejas sur locomoción en la esquina a 10 min caminando de metro las rejas  comercios supermercados colegios clínicas entrada a autopista gran oportunidad. no dejar de visitar. @¬coordinar visitas con ejecutiva a cargo: carolina briones 569 carolina briones tel."
"icasas","Huechuraba","","Aparment","","123m2","3 Dormitorios","3 Baños","","UF 6.200","https://www.icasas.cl/propiedad/307983","estupendo departamento 123/127 metros aproximados living comedor con ampliación de terraza tres dormitorios tres baños principal en suite piso cerámica córdoba segundo dormitorio con ampliación de su terraza también entero en piso flotante vitrificado todas las ventanas con malla de protección para niños como nuevo¡¡.  cocina equipada amoblada espacio para comedor de diario un estacionamiento cubierto y bodega no deje de visitar este lindo departamento gran espacio luminosidad y una hermosa vista¡¡…a pasos de locomoción supermercados avenida pedro fontova. agenda tu visita: ventashuechuraba@avsa. cl"
"icasas","Huechuraba","","Aparment","","105m2","3 Dormitorios","2 Baños","","UF 4.600","https://www.icasas.cl/propiedad/436931","departamento casi nuevo en condominio edificio de cuatro pisos con ascensor condominio con vigilancia 24 horas y portón eléctrico piscina con reja quincho y sala de eventos jardines con caminerías para pasear y disfrutar del aire libre. un estacionamiento por departamento y estacionamientos para visitantes el departamento tiene tres dormitorios y dos baños completos living y comedor separados cocina cerrada  amoblada con cocina 4 hornillas y horno eléctrico campana e instalación para lavadora. gastos comunes: apróx. 70 mil pesos y contribuciones 92. 000 pesos por período. asesor : alejandra jofre."
"icasas","Huechuraba","","Aparment","","114m2","3 Dormitorios","2 Baños","","UF 5.630","https://www.icasas.cl/propiedad/354784","excelente departamento con acceso controlado 24 hrs. cercano av. pedro fontova. distribución: living comedor juntos 3 dormitorios 2 baños principal en suite cocina amoblada. terminaciones: piso flotante en living comedor dormitorios alfombrados cubierta muebles de cocina postformada terraza techada. calefacción por radiadores caldera individual. exterior: 2 estacionamientos descubiertos bodega @¬el condominio cuenta con lavandería sala de eventos piscina. @¬@¬@¬metrajes aproximados valores sujetos a cambios. @¬. elizabeth orellana tel."
"icasas","Huechuraba","","Aparment","","130m2","3 Dormitorios","2 Baños","","UF 6.000","https://www.icasas.cl/propiedad/396716","descripción en huechuraba al pie de los cerros que dominan el valle en la parte más alta del mejor sector residencial de la comuna se ubica altavista huechuraba. a través de las hermosas y añosas alamedas de av. pedro fontova se llega al mejor condominio del sector. su arquitectura moderna ha privilegiado departamentos con la mejor e incomparable vista convirtiéndolo en un imponente mirador del valle de huechuraba. ven a disfrutar todo el año en verano la piscina quinchos y salón multiuso todo el año. el departamento tiene 4 años la vista es inmejorable se aprecia el valle de santiago de forma despejada habitación principal tiene un walking closet del tamaño de una habitación pequeña y un segundo closet de con buen tamaño pasillos muy amplios y con closet muy amplios dormitorios secundarios separados al principal para mayor privacidad 2 estacionamientos 1 bodega características: amplio living comedor pisos flotantes walking closet amplia cocina y terraza sala multiuso piscina quinchos bodegas subterráneas acceso controlado. sup. útil sup. total 130 m²el condominio tiene una ubicación privilegiada por la variedad de comercio que se encuentra en el cercano inmediato : estaciones de servicios supermercados gimnasios veterinarias centros de estéticas centros de yoga etc a 5 min del mall plaza norte variedad de centros educacionales :lincoln college colegio pumahue y institutos nivel superior aiep y duoc. kp23252 publicado a través de kiteprop crm inmobiliario"
"icasas","Huechuraba","","Aparment","","108m2","3 Dormitorios","3 Baños","","UF 6.700","https://www.icasas.cl/propiedad/437128","makler gestion inmobiliaria (130. 187) espectacular departamento con vista despejada distribución: hall de entrada living comedor juntos con salida a terraza vista sur poniente. 3 dormitorios 2 en suite uno con walk in closet con salida a terraza. cocina con comedor de diario. ggcc: $160. 000 contribuciones: $130. 000 contacto: jdominguez@makler. cl"
"icasas","Huechuraba","","Aparment","","101m2","3 Dormitorios","3 Baños","","UF 6.144,64","https://www.icasas.cl/propiedad/434375","nan"
"icasas","Huechuraba","","Aparment","","110m2","3 Dormitorios","2 Baños","","UF 6.900","https://www.icasas.cl/propiedad/311404","impecable departamento con vista despejada en condominio consolidado a minutos de vitacura!! amplio hall de acceso living comedor juntos con salida a una amplia terraza con vista 3 dormitorios amplio dormitorio en suite con estar 2 baños en suite bodega y estacionamiento. edificio con piscina sala de eventos jardines quincho seguridad 24/7. @¬. monica urriola tel."
"icasas","Huechuraba","","Aparment","","126m2","3 Dormitorios","3 Baños","","UF 6.250","https://www.icasas.cl/propiedad/302157","id 26524 excelente departamento en un condominio sin ruidos externos!!!! condominio con dos torrres de 7 pisos  dos departamentos por piso en construcción salida a cuidad empresarial lista fin de semestre contactar a cristina alarcón mail cristina@vivaqui. com whatsapp hall amplio luminoso con piso de mármol con puerta de doble hoja dividida en 8 ventanitas rectangulares al ingreso del living y com...edor amplios con salida a la terraza  la cual tiene 16 metros cuadrados y esta cerrada con vilalibre plegable o desmontable linda vista de santiago  piso piedra pizarra cocina amplia con comedor diario amplia con cubierta granito  piso porcelanato loggia amplia con malla baño visita ciego piso porcelanato dos dormitorios amplios con piso flotante color café aleman baño completo ciego piso porcelanto suite muy amplia con vista walking closet y baño amplio con ventana 1 estacionamiento 1 bodega de 3x3 con repisas externo piscina para niños y adultos sala eventos gimnasio areas verdes baño o camarín sector piscina plaza juegos infantiles 6 quinchos cada uno con lavaplatos parrilla  completos.mostrar"
"icasas","Huechuraba","","Aparment","","100m2","3 Dormitorios","2 Baños","","UF 5.300","https://www.icasas.cl/propiedad/445273","precioso y amplio departamento en venta. con jardín privado 3 habitaciones principal en suite 2 baños cocina independiente con logia cerrada. living comedor que dan paso a linda y amplia terraza con jardin privado. 100 mts2 útiles 130 mts2 totales dentro de moderno condominio que cuenta con: gimnasio quincho salón de eventos piscina jardines con juegos infantiles conserjería vigilancia 24/7 y estacionamiento de visitas"
"icasas","Huechuraba","","Aparment","","108m2","3 Dormitorios","2 Baños","","UF 4.250","https://www.icasas.cl/propiedad/413747","pacpropiedades huechuraba vende lindo y amplio depto. 3d/2b en condominio consolidado con control de ingreso seguridad 24/7 ubicado en bonita zona residencial con bonitas áreas verdes cercano a avenida principal centros comerciales restaurantes colegios entre las estaciones de metro los libertadores y vespucio norte. hall de entrada bonito y amplio living comedor con terraza grande cocina amplia amoblada y equipada con comedor de diario y logia cerrada. dormitorio principal en suite con walk in closet dos dormitorios grandes con closets y baño completo en pasillo. el depto. tiene todo el piso flotante y cuenta con una bodega en subterráneo y un estacionamiento. exteriores: condominio con piscina salón de eventos juegos infantiles estacionamiento de visitas y lindas áreas verdes. para mas información contactarnos"
"icasas","Huechuraba","","House","","140m2","4 Dormitorios","4 Baños","","UF 6.490","https://www.icasas.cl/propiedad/450013","excelente propiedad ! frente a una plaza y en el mejor emplazamiento de huechuraba tranquilo seguro cerca a colegios supermercados y a vías de conexión. muchas mejoras en la casa con espacios para cada integrante de la familia. tiene 4 dormitorios ( 2 en suits uno en primer piso y otro en segundo piso) 4 baños  mas servicios completos. terraza vidriada y quincho. se reciben propiedades en parte de pago. te gestionamos el predio para la compra sin cargo!! para cordinar contacto por whatsapp al"
