,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,787,787,787,787,787,787,787.0,787,787,787.0,787.0,787,787.0,787.0,787.0,787.0,787.0,787.0,787.0,787.0,787
unique,1,1,26,7,1,2,,3,2,,,2,,,,,,,,,786
top,portal inmobiliario,rm,las condes,17/07/2020,aparment,usada,,Done,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/9191-parque-de-cordova-nva#position=38&type=item&tracking_id=c2716fd3-a66f-4999-92b4-8e7dc1047bde
freq,787,787,226,224,787,780,,780,786,,,683,,,,,,,,,2
mean,,,,,,,-15.719186785260483,,,4448.477763659466,-15.731893265565438,,469.24396442185514,186.8881829733164,2.500635324015248,2.135959339263024,0.8907242693773825,0.7865311308767471,0.554002541296061,7668.062261753495,
std,,,,,,,3.1940904959174428,,,30293.334482214894,2.734295774599979,,8217.590714689197,2222.771530097696,0.9668485059764513,0.9012659676258616,0.6754531860707282,0.41001649254250977,0.4973912759774441,5090.235621699029,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1111.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,53.0,52.0,2.0,1.0,0.0,1.0,0.0,3294.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,85.0,79.0,3.0,2.0,1.0,1.0,1.0,6490.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,135.0,121.0,3.0,3.0,1.0,1.0,1.0,10995.0,
max,,,,,,,52.0,,,350000.0,26.0,,220810.0,61050.0,6.0,5.0,4.0,1.0,1.0,24000.0,
