,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,3988,3988,3988,3988,3987,3988,3988,17,3987,3984,3967,3903,3078,193,3988,3988,3988
unique,1,1,2,3,7,3607,345,17,883,521,26,26,65,19,1155,3976,3780
top,portal inmobiliario,rm,aparment,propiedades usadas,30-07-2020,hipodromo chile / pablo urzua plaza chacabuco independencia,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,37.23 m totales 1 dormitorios 1 banos,superficie total 100 m,superficie util 140 m,dormitorios 3,ambientes 3,banos 2,bodegas 1,uf 12.500,https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/9659-edificio-nativa-nva#position=10&type=item&tracking_id=cb3b9879-216e-468a-a139-0e4433c4d085,descripcion moderno departamento con 2 dormitorios (1 en suite) dormitorio 2 con bano aparte living/comedor piso flotante con cocina americana cubierta quartztone equipada con campana y horno digital terraza con porcelanato y baranda de cristal calefaccion por radiador edificio equipado con: piscina panoramica quincho terraza lounge bicicletero lavanderia sistema de seguridad integral luces bajo consumo en espacios comunes jardin diseno ecologico health center y spa valor no incluye bodega ni estacionamiento bodega desde uf100 estacionamiento desde uf390
freq,3988,3988,2011,2451,1708,10,187,1,59,223,1330,774,835,131,41,4,11
