Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
icasas,Nunoa,06/26/2020,Aparment,usada,110.0,3,3.0,2,5885,https://www.icasas.cl/propiedad/405349
icasas,Nunoa,06/26/2020,Aparment,usada,104.0,4,3.0,1,7000,https://www.icasas.cl/propiedad/423741
icasas,Nunoa,06/26/2020,Aparment,usada,115.0,3,2.0,1,6477,https://www.icasas.cl/propiedad/409154
icasas,Nunoa,06/26/2020,Aparment,usada,126.0,4,3.0,1,6300,https://www.icasas.cl/propiedad/329601
icasas,Nunoa,06/26/2020,Aparment,usada,105.0,3,2.0,1,6000,https://www.icasas.cl/propiedad/413252
icasas,Nunoa,06/26/2020,Aparment,nueva,100.0,3,2.0,2,6900,https://www.icasas.cl/propiedad/386124
icasas,Nunoa,06/26/2020,Aparment,usada,103.0,4,2.0,1,6300,https://www.icasas.cl/propiedad/467486
icasas,Nunoa,06/26/2020,Aparment,usada,100.0,3,2.0,1,6755,https://www.icasas.cl/propiedad/357388
icasas,Nunoa,06/26/2020,Aparment,usada,100.0,3,2.0,2,6616,https://www.icasas.cl/propiedad/304943
icasas,Nunoa,06/26/2020,Aparment,usada,125.5,3,2.0,2,6200,https://www.icasas.cl/propiedad/454891
icasas,Nunoa,06/26/2020,Aparment,usada,160.0,3,2.0,2,6900,https://www.icasas.cl/propiedad/467071
icasas,Nunoa,06/26/2020,Aparment,usada,130.0,3,2.0,2,6253,https://www.icasas.cl/propiedad/413242
icasas,Nunoa,06/26/2020,Aparment,usada,100.0,3,2.0,1,6700,https://www.icasas.cl/propiedad/376438
icasas,Nunoa,06/26/2020,House,usada,133.0,3,3.0,0,4800,https://www.icasas.cl/propiedad/170907
icasas,Nunoa,06/26/2020,House,usada,100.0,3,4.0,0,5676,https://www.icasas.cl/propiedad/456152
icasas,Nunoa,06/26/2020,House,usada,123.0,4,1.0,1,6171,https://www.icasas.cl/propiedad/469071
icasas,Nunoa,06/26/2020,House,usada,125.0,4,2.0,0,4200,https://www.icasas.cl/propiedad/426271
icasas,Nunoa,06/26/2020,House,usada,100.0,5,4.0,1,6500,https://www.icasas.cl/propiedad/441969
icasas,Nunoa,06/26/2020,House,usada,120.0,4,2.0,1,5049,https://www.icasas.cl/propiedad/134580
