,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4016,4016,4016,4016,3992,4016,4016,34,4015,4012,3990,3875,2016,107,4016,4016,4016
unique,1,1,2,3,8,3401,353,34,827,442,29,24,99,20,1114,3996,3707
top,portal inmobiliario,rm,aparment,propiedades usadas,23-07-2020,valle la dehesa la dehesa lo barnechea,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,31.21 m totales 1 dormitorios 1 banos,superficie total 5000 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 10.500,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/7624-estoril-820-casas-nva#position=26&type=item&tracking_id=36b7d3fa-bd8d-4c63-83f2-104e059d672f,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4016,4016,2014,2319,1527,51,292,1,79,256,1296,991,577,73,48,5,20
