,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4009,4009,4009,4009,4005,4009,4009,31,4008,4005,3983,3905,2078,113,4009,4009,4009
unique,1,1,2,3,6,3276,337,31,820,452,27,25,91,22,1167,3990,3709
top,portal inmobiliario,rm,aparment,propiedades usadas,23-07-2020,valle la dehesa la dehesa lo barnechea,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,151.93 m totales 4 dormitorios 3 banos,superficie total 5000 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 10.500,https://www.portalinmobiliario.com/venta/departamento/san-joaquin-metropolitana/9636-edificio-lira-nva#position=43&type=item&tracking_id=8ecf2c7d-e122-46f4-8cf5-1ffa5444fae5,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4009,4009,2018,2314,1428,51,307,1,77,252,1189,880,553,80,46,4,20
