,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4097,4097,4097,4097,4097,4097,4097,159,4091,4089,4067,3993,2482,173,4097,4097,4097
unique,1,1,2,3,15,3584,370,157,886,469,42,31,197,28,1224,3996,3875
top,portal inmobiliario,rm,aparment,propiedades usadas,20-07-2020,general amengual metro ecuador estacion central,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,64.9 m totales 2 dormitorios 2 banos,superficie total 80 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 1.799,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/8565-edificio-arqdomus-nva#position=37&type=item&tracking_id=9d98d505-5c24-4170-9805-2b6673d8d05c,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4097,4097,2096,2223,847,34,308,2,65,206,1311,961,635,99,43,5,11
