,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4010,4010,4010,4010,4010,4010,4010.0,4010,4010,4010.0,4010.0,4010,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010
unique,1,1,49,7,2,2,,5,4,,,2,,,,,,,,,3963
top,portal inmobiliario,rm,las condes,30/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/7462-isa-mar-jonico-nva
freq,4010,4010,724,1611,2013,3993,,3959,3997,,,3553,,,,,,,,,6
mean,,,,,,,-15.623441396508728,,,1388.8199501246884,-15.968827930174564,,10113.244389027432,137.15860349127183,3.2765586034912717,2.529426433915212,0.8745635910224439,0.5139650872817955,0.4822942643391521,9084.895511221945,
std,,,,,,,4.51182301255984,,,11212.859578500253,1.0253829527880067,,610030.2904024248,224.16137837292192,1.3975619747857229,1.1321981746185732,0.9053354069752522,0.5048327075746195,0.49974872527909386,5974.377523267685,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1090.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,77.0,68.0,2.0,2.0,0.0,0.0,0.0,3718.5,
50%,,,,,,,-16.0,,,-16.0,-16.0,,154.0,115.0,3.0,2.0,1.0,1.0,0.0,7890.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,330.0,168.75,4.0,3.0,1.0,1.0,1.0,12900.0,
max,,,,,,,72.0,,,200000.0,25.0,,38630000.0,10015.0,14.0,8.0,11.0,3.0,1.0,24990.0,
