,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4016,4016,4016,4016,4016,4016,4016.0,4016,4016,4016.0,4016.0,4016,4016.0,4016.0,4016.0,4016.0,4016.0,4016.0,4016.0,4016.0,4016
unique,1,1,48,9,2,2,,6,7,,,2,,,,,,,,,3996
top,portal inmobiliario,rm,las condes,23/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/7624-estoril-820-casas-nva
freq,4016,4016,764,1527,2014,3980,,3943,3988,,,3637,,,,,,,,,5
mean,,,,,,,-15.524153386454183,,,2391.385458167331,-15.906374501992032,,423.1386952191235,196.40612549800798,3.3391434262948207,2.6678286852589643,0.9748505976095617,0.5423306772908366,0.5179282868525896,9646.251743027888,
std,,,,,,,5.170653302241754,,,16863.14854781814,2.6786735259671084,,1034.6774293234453,3949.817348066963,1.367300624262075,1.1832036914142061,1.4437101013972145,0.5012571455776634,0.4997406957367944,5848.460101750317,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,83.0,70.75,3.0,2.0,0.0,0.0,0.0,4500.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,159.0,120.0,3.0,3.0,1.0,1.0,1.0,9201.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,340.0,170.0,4.0,3.0,1.0,1.0,1.0,13500.0,
max,,,,,,,100.0,,,300000.0,135.0,,15000.0,250201.0,13.0,8.0,66.0,3.0,1.0,24990.0,
