,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4007,4007,4007,4007,4007,4007,4007.0,4007,4007,4007.0,4007.0,4007,4007.0,4007.0,4007.0,4007.0,4007.0,4007.0,4007.0,4007.0,4007
unique,1,1,47,8,2,2,,6,9,,,2,,,,,,,,,3881
top,portal inmobiliario,rm,las condes,23/07/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8456-edificio-tercera-avenida-nva
freq,4007,4007,764,1287,2013,3973,,3963,3983,,,3525,,,,,,,,,4
mean,,,,,,,-15.82056401297729,,,2533.5472922385825,-15.863239331170451,,418.5535313201897,197.6526079361118,3.3341652108809585,2.6887946094334914,0.8966808085849763,0.5170950836036935,0.5123533815822311,9735.806338906912,
std,,,,,,,3.0095531671551785,,,17608.77771835953,5.1563438563988555,,1004.0319598012951,3954.2702422046204,1.3767878842944867,1.2142981263188701,0.9771766229601768,0.5027579917771998,0.4999097541152109,6030.908712299136,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1003.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,80.0,69.0,2.0,2.0,0.0,0.0,0.0,4301.5,
50%,,,,,,,-16.0,,,-16.0,-16.0,,161.0,120.0,3.0,3.0,1.0,1.0,1.0,9490.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,350.0,170.0,4.0,4.0,1.0,1.0,1.0,13732.5,
max,,,,,,,100.0,,,300000.0,302.0,,15000.0,250201.0,13.0,8.0,25.0,3.0,1.0,25000.0,
